algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,10,0.6852937746268957,0.8325535793304444,0.7445532964468002,nan,0.09600700606261531,0.0,1000.0,nan,nan,0,0,0,358,0.6852937746268957,0.0,0.2845801262874212,0.0,0.0,0.0,1.7930606219076342,0.0,3.6176179147535756,0.0,0.6852937746268957,0.0,0.44999999999999996,0.9919701286461592,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,11,0.7214611380882578,0.8384159809350967,0.7006326388120652,nan,0.0881344199180603,0.0,1000.0,nan,nan,0,0,0,342,0.721461138088258,0.0,0.26729926347377986,0.0,0.0,0.0,1.7430428345998128,0.0,3.3607547680536904,0.0,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.9909779643818064,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,12,0.7596944884031196,0.8428627796173096,0.6648705853223801,nan,0.08092242454489072,0.0,1000.0,nan,nan,0,0,0,392,0.7596944884031196,0.0,0.2528294048468741,0.0,0.0,0.0,1.6825149337450662,0.0,3.0641130129496257,0.0,0.7596944884031196,0.0,0.48,0.9898483600441831,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,13,0.8001526997791856,0.8467717788219452,0.6346866146326066,nan,0.07497792553018641,0.0,1000.0,0.0,nan,0,3,0,283,0.8001526997791857,0.0,0.23756479372259937,0.0,0.1111111111111111,0.0,1.736848897404141,0.0,3.0840297363422535,0.0,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.9890217402891092,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,14,0.8430464367132451,0.8505165791511535,0.6087521340847015,nan,0.06915294585956468,0.0,1000.0,nan,nan,0,0,0,120,0.843046436713245,0.0,0.2129836590837295,0.0,0.0,0.0,1.6238893866539001,0.0,3.3956665330462985,0.0,0.843046436713245,1.1102230246251565e-16,0.51,0.9886782623936681,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,15,0.8793723681465165,0.8534845784902573,0.5869100381135941,nan,0.0658446088757204,0.0,1000.0,0.0,nan,0,2,0,198,0.8793723681465164,0.0,0.21233199927226515,0.0,0.08695652173913043,0.0,1.6098707240560781,0.0,2.986025437064793,0.0,0.8793723681465164,1.1102230246251565e-16,0.525,0.9881002687311196,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,16,0.9126284626054437,0.8561571787595749,0.5679029666185379,nan,0.062398746299246945,0.0,1000.0,0.0,nan,0,3,0,231,0.9126284626054437,0.0,0.21899434979869734,0.0,0.125,0.0,1.7029024710257847,0.0,2.9929580887158713,0.0,0.9126284626054437,0.0,0.54,0.9874569274090552,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,17,0.9474622637610021,0.8584265770912171,0.5513906837701797,nan,0.05790769020942124,0.0,1000.0,nan,nan,0,0,0,178,0.9474622637610021,0.0,0.19125477522395357,0.0,0.0,0.0,1.445704473690553,0.0,2.702725898135792,0.0,0.9474622637610021,0.0,0.555,0.9869436395633876,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,18,0.9839586158871577,0.8606017776727677,0.5369309774637222,nan,0.05566410153456356,0.0,1000.0,nan,nan,0,0,0,222,0.9839586158871577,0.0,0.20135595331885447,0.0,0.0,0.0,1.5917778740758481,0.0,2.761007739150006,0.0,0.9839586158871577,0.0,0.57,0.9862941221189112,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,19,1.022216540748102,0.8623625773191452,0.5241056858301163,nan,0.0529591232876886,0.0,1000.0,0.0,nan,0,1,0,193,1.0222165407481025,0.0,0.1625527305346247,0.0,0.045454545454545456,0.0,1.2177286527373574,0.0,2.2296214645559136,0.0,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9857340972774807,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,20,1.0623545611125644,0.864070778131485,0.5127422505021095,nan,0.050313854057873995,0.0,1000.0,nan,nan,0,0,0,296,1.0623545611125642,0.0,0.15574435976283435,0.0,0.0,0.0,1.1277282472167696,0.0,1.898200354405812,0.0,1.0623545611125642,2.220446049250313e-16,0.6,0.9848632556333282,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,21,1.1045192595593831,0.8655601782798767,0.5025004853010178,nan,0.04816707773577599,0.0,1000.0,nan,nan,0,0,0,160,1.1045192595593836,0.0,0.16846794308806654,0.0,0.0,0.0,1.4162624762171792,0.0,2.336372284662156,0.0,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.9843897977648589,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,22,1.148899646893674,0.8669081777334213,0.4933670130968094,nan,0.04757887510848897,0.0,1000.0,0.0,nan,0,3,0,297,1.1488996468936743,0.0,0.1634871692609984,0.0,0.10714285714285714,0.0,1.3137326857873373,0.0,2.0463514583451405,0.0,1.1488996468936743,2.220446049250313e-16,0.63,0.983552504667119,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,23,1.1932226547715872,0.8682173784971238,0.48493440669775006,nan,0.04569836386612484,0.0,1000.0,0.0,nan,0,2,0,150,1.193222654771587,0.0,0.15386835789074654,0.0,0.09523809523809523,0.0,1.2613998736654009,0.0,2.1440088010969616,0.0,1.193222654771587,2.220446049250313e-16,0.6450000000000001,0.9831130742815192,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,24,1.2237170788729461,0.8692647788524628,0.47755972880125047,nan,0.04353130664676428,0.0,1000.0,nan,nan,0,0,0,146,1.2237170788729463,0.0,0.15447341119557087,0.0,0.0,0.0,1.2563224524259566,0.0,2.094128316640854,0.0,1.2237170788729463,2.220446049250313e-16,0.66,0.9826800221918979,0.0
