algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,51,2.2630477569582963,0.7868929801384608,0.6010868016878764,0.575521974842613,0.03251974538645961,2.0606483539938925,1000.0,0.8641748366013072,0.4089335251974221,30103,487,281,43,0.4837003546682271,0.6615410420298576,0.09110481436829788,0.0,18.727272727272727,151.92,2.2630477569582967,0.0,0.685728751800277,1.4424538353085519,2.2630477569582967,4.440892098500626e-16,1.065,0.9631375996084348,0.6611476064604436
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,52,2.303197848143191,0.7848013132810593,0.6096228136618932,0.46646825773412975,0.03192951515890085,11.706350131034851,1000.0,1.0,0.2840076784677065,30042,500,358,80,0.45423654180306655,3.611823524236679,0.06910806425798172,0.0,10.923076923076923,152.0,2.3031978481431916,0.0,0.9335552408145025,8.194444963932037,2.3031978481431916,4.440892098500626e-16,1.08,0.9626927581875875,0.6522471085930069
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,53,2.344539209861966,0.7880129810174307,0.5981136846542359,0.9705203634013762,0.0305293674270312,53.95200622558594,1000.0,0.9090909090909091,0.9461207706766916,30341,456,14,95,0.6257219240069389,16.763231234550474,0.07921773114513146,0.0,36.833333333333336,151.775,2.3445392098619666,0.0,1.2243709117174149,37.76640357971191,2.3445392098619666,4.440892098500626e-16,1.095,0.9621318850734364,0.6364263470011425
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,54,2.3871221095865076,0.7883366469542186,0.5972543299198151,0.9915996508508407,0.031855016508523154,276.6935194015503,1000.0,0.90220243472276,1.0,30528,632,0,134,0.6791217292056364,86.30275232315063,0.09510288652406135,0.0,37.1764705882353,152.64,2.3871221095865067,0.0,1.2533051687128403,193.6854602432251,2.3871221095865067,8.881784197001252e-16,1.11,0.9613790946268372,0.6114637193341862
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,55,2.431001419315337,0.7883106474081675,0.5969812395175298,0.9987515605493135,0.031455097576746575,1422.707892303467,1000.0,0.8977777777777778,1.0,30314,416,0,82,0.686326808654345,443.2240830230713,0.08223537122615511,0.0,32.0,151.57,2.431001419315337,0.0,1.2732246288886437,995.8955119323731,2.431001419315337,0.0,1.125,0.9609004189284895,0.5985289915783293
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,56,2.4762372355197746,0.7894513142108918,0.5942084310452144,0.9988385598141696,0.03286623116582632,7204.231986083984,1000.0,0.9976958525345623,1.0,30208,309,0,49,0.7977043509483337,2244.2604150390625,0.08362126199491357,0.0,30.9,151.04,2.476237235519775,0.0,1.5228670597076417,5042.962276000977,2.476237235519775,4.440892098500626e-16,1.1400000000000001,0.9606140404519647,0.5855895596965163
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,57,2.5228955996813527,0.7893016451597213,0.594092209537824,0.9980506822612085,0.03174336226657033,36542.903813476565,1000.0,0.9961685823754789,1.0,30356,457,0,243,0.5165123254060745,11376.753122558594,0.07075771939715556,0.0,22.85,151.78,2.5228955996813522,0.0,0.8376507759094238,25580.032163085936,2.5228955996813522,4.440892098500626e-16,1.155,0.9591896662289209,0.570049573561919
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,58,2.5710493373515257,0.7897656464576721,0.5931841057538986,0.9993678887484198,0.031202945004527766,184346.42828125,1000.0,0.8739035087719298,1.0,30685,788,0,303,0.5429001388450464,57427.868271484374,0.08120353810474311,0.0,32.833333333333336,153.425,2.5710493373515253,0.0,0.9117513646682104,129042.49732421876,2.5710493373515253,4.440892098500626e-16,1.1700000000000002,0.9574657457677839,0.5394140548421847
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,59,2.620779036985648,0.7902446458737056,0.5918788613875707,1.0,0.030589541171987852,935570.2528125,1000.0,1.0,1.0,30343,443,0,116,0.6735808948675791,291376.899609375,0.07346952518419779,0.0,29.533333333333335,151.715,2.6207790369856485,0.0,1.0835317929585775,654899.167734375,2.6207790369856485,4.440892098500626e-16,1.185,0.956786351446995,0.5285161035032148
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,60,2.672174193730253,0.7903426464398702,0.5912690452734629,0.9983477048587805,0.03221272180477778,4736000.31625,1000.0,0.9967213856102745,1.0,30367,469,0,68,0.7000321969389915,1475652.13953125,0.07718661753196014,0.0,39.083333333333336,151.835,2.672174193730253,0.0,1.3734804689884186,3315200.16,2.672174193730253,0.0,1.2,0.9564115638110321,0.5195403393930835
