algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,0,0.0,0.570325236171484,1.8743770661950112,0.0,0.3554462641477585,0.3552217015624046,,0.0,0.0,0.007082283108805616,0.010020715901628136
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,1,0.0,0.7249554827809334,1.4497966027259828,0.0,0.3630629324913025,0.36522790908813474,,0.0,0.0,0.006883900465541764,0.016828807638958096
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,2,0.0,0.7921364797651768,1.1098145255446434,0.0,0.3252639999985695,0.3294385549426079,,0.0,0.0,0.006158848269842565,0.017800094177946448
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,3,0.0,0.8237184803187847,0.8847736030817032,0.0,0.26604921780526636,0.2705924752354622,,0.0,0.0,0.005518682111330607,0.026575178131461142
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,4,0.0,0.8408327281475068,0.7450752587616444,0.0,0.2120648207515478,0.21667975425720215,,0.0,0.0,0.004069263115525246,0.011357207298278809
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,5,0.0,0.8518624785542488,0.6550709791481495,0.0,0.17238872069865466,0.17742313489317893,,0.0,0.0,0.0041524760502701,0.02396090317517519
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,6,0.0,0.8598712277412415,0.5937953196465969,0.0,0.1444984433054924,0.1500648947060108,,0.0,0.0,0.003405066116506027,0.008264755583368241
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,7,0.0,0.8658307275176048,0.5496518808603287,0.0,0.12469830458983779,0.13102673627436162,,0.0,0.0,0.003066976353610781,0.009039464495144785
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,8,0.0,0.8706534780561924,0.5166315391659737,0.0,0.11012131739407778,0.11741258069872856,,0.0,0.0,0.002820194483286253,0.018054916663095354
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,9,0.0,0.8742764788866043,0.4908196444064379,0.0,0.09910343393683434,0.10724344372749328,,0.0,0.0,0.003072654527689641,0.0180680042412132
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,10,0.0,0.8595044779777526,0.5197648582607508,0.7202894181489298,0.09049615366384386,9.934916725158692,,1.0,0.5628533735393894,0.0034018795510443547,0.016318892277777195
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,11,0.0,0.8432797276228666,16.371604745313526,0.730832549388523,0.0923017766699195,40.67776020050049,,1.0,0.5758361901232281,0.003378832043381408,0.020299916919320822
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,12,0.0,0.8263309792429209,51327.11578345984,0.7351778656126483,0.3341011792980135,827.9272546386719,,1.0,0.58125,0.0032636151426350293,15.901294086938725
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,13,0.0,0.8296074777841568,34738683.159983814,0.6751550767221678,11.72717691704631,30367.82779296875,,0.9948046950163556,0.5109705475390394,0.002457356860395521,2297693.767432481
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,14,0.0,0.8268244793638587,199745002595.36514,0.6922202576408184,204.78713099373505,1558391.52625,,1.0,0.5293095123128924,0.002372895662362377,0.006675447181332856
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,15,0.0,0.8210532281547784,504685510549739.2,0.6957069911113912,18015.591462787652,80941130.48,,1.0,0.5333977767037216,0.0021041995025284236,0.16797498386353255
