algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,0,2.0085048948333024,0.13398619671911002,2.300786804676056,0.0,4.750661853790283,0.0,6.0,0.0,0.0,44.61146545410156,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,1,2.255098147312124,0.14004819643497468,2.3063649816513063,0.0,4.749667679786682,0.0,6.0,0.0,0.0,44.61106411616007,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,2,2.400431065523688,0.14582819618284704,2.3145635294914246,0.0,4.75097629737854,0.0,5.0,0.0,0.0,44.35777423999928,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,3,2.4496653084249767,0.15195559597760439,2.3225419335365296,0.0,4.749598551750183,0.0,5.0,0.0,0.0,44.446780749729704,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,4,2.4988995513262653,0.15618539592623712,2.3358455033302308,0.0,4.750905261039734,0.0,5.0,0.0,0.0,44.486539107102615,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,5,2.548133794227554,0.1615923959314823,2.346284035205841,0.0,4.750804928779602,0.0,5.0,0.0,0.0,44.624906349182126,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,6,2.5973680371288426,0.16607659593224525,2.352394076347351,0.0,4.750379631996155,0.0,5.0,0.0,0.0,44.24925127896395,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,7,2.646602280030131,0.17013359573483466,2.364944146156311,0.0,4.7516449365615845,0.0,5.0,0.0,0.0,44.63238209691541,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,8,2.6958365229314194,0.17357079555094243,2.37932408618927,0.0,4.750697031974792,0.0,5.0,0.0,0.0,44.41417549396383,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,9,2.745070765832708,0.17734399518370628,2.396866997718811,0.0,4.750735853195191,0.0,5.0,0.0,0.0,44.65749302616826,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,10,2.7943050087339967,0.18011859517544507,2.416166567802429,0.0,4.749226559638977,0.0,5.0,0.0,0.0,44.491238501764116,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,11,2.843539251635285,0.18402739490568637,2.432723340511322,0.0,4.750557057380676,0.0,5.0,0.0,0.0,44.58123893737793,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,12,2.8927734945365735,0.18710079537332058,2.444040468931198,0.0,4.750456148147583,0.0,5.0,0.0,0.0,44.42082977294922,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,13,2.942007737437862,0.19083459529280664,2.4558155455589294,0.0,4.750434368133545,0.0,5.0,0.0,0.0,44.36206294872142,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,14,2.991241980339151,0.1940019954442978,2.474889340877533,0.0,4.750363311767578,0.0,5.0,0.0,0.0,44.52422417534722,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,15,3.0404762232404394,0.19756359505653381,2.489295632839203,0.0,4.750859659194946,0.0,5.0,0.0,0.0,44.53439546668011,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.9,0.0234,0.05,iid,1.0,10,16,3.0897104661417276,0.20092899475991727,2.5031817326545713,0.0,4.749665669441223,0.0,5.0,0.0,0.0,44.55240615208944,0.0
