algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.8358199787139893,0.7399157553911209,nan,0.09326114166866649,0.11809848129749298,1000.0,nan,nan,0,0,0,51156,0.9650979583913629,0.757396276195844,0.6852937746268957,0.6852937746268957,0.0,0.0,0.25253606037411236,0.37408486364387744,2.2799469232559204,1.4080803020795187,0.6852937746268957,0.0,0.44999999999999996,0.9920874172605743,0.8225397449046983
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.8413459789752961,0.6964060792326927,nan,0.08757208918149655,0.10634230193992456,1000.0,nan,nan,0,0,0,51594,0.9645280196116521,0.6747960533698399,0.7214611380882578,0.7214611380882577,0.0,0.0,0.26275053651517866,0.33333272855345975,2.0204512981268077,1.2349565001328786,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.991072630823854,0.8043237119205705
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.8458549797534942,0.6603454077243804,nan,0.0813295291736722,0.09592182459930579,1000.0,nan,nan,0,0,0,50592,1.2731562107801437,0.591679683526357,0.7596944884031196,0.7596944884031195,0.0,0.0,0.2626886476033241,0.2959625044444164,2.6161146610975266,1.0646760751803717,0.7596944884031196,0.0,0.48,0.9906399098120575,0.8003910107373065
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.8494114780426025,0.630361644923687,nan,0.07317214161157608,0.08727843100825945,1000.0,nan,nan,0,0,0,50896,0.8760960817337036,0.5273894485831261,0.8001526997791858,0.8001526997791857,0.0,0.0,0.22826992226177967,0.263272386573701,1.7571046710014344,0.9652567032972972,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.9898596811596341,0.7907642385611549
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,14,0.8430464367132451,0.85307147949934,0.6046310338377953,nan,0.06851499634129661,0.07983664078017076,1000.0,nan,nan,0,0,0,50650,0.7671584529536111,0.47176368872324626,0.843046436713245,0.8430464367132453,0.0,0.0,0.21216143401512116,0.2348473513348329,1.5693938391549247,0.8650733675559362,0.843046436713245,1.1102230246251565e-16,0.51,0.9895739547743646,0.783177732009087
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,15,0.8793723681465165,0.8557744759321213,0.5829718264937401,nan,0.06450894102454185,0.07348260477185249,1000.0,0.0,nan,0,60,0,50638,0.8561145729488797,0.4193712563316027,0.8793723681465165,0.8793723681465166,0.1111111111111111,0.19666666666666666,0.21317812950076978,0.2105013842986222,1.7022238704893324,0.7611540081103643,0.8793723681465164,1.1102230246251565e-16,0.525,0.9889657948177039,0.7802907517003868
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,16,0.9126284626054437,0.858378980755806,0.5639521247148513,nan,0.061219632253050806,0.06828864755729834,1000.0,nan,nan,0,169,0,51101,0.7388296544551849,0.3804132012526194,0.9126284626054436,0.9126284626054435,0.0,0.5633333333333334,0.21617081700528903,0.19002964649424847,1.2641844630241394,0.703821518222491,0.9126284626054437,0.0,0.54,0.988412917844923,0.7717527906971421
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,17,0.9474622637610021,0.8603849762678146,0.5476959893107414,nan,0.05744593455032869,0.06386716948201258,1000.0,nan,nan,0,66,0,50926,0.7343570833856409,0.3440018338958422,0.947462263761002,0.947462263761002,0.0,0.22,0.19019782818057526,0.17296743588602637,1.2797336415811018,0.6319328000148138,0.9474622637610021,0.0,0.555,0.9875744283628195,0.7660273443567475
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,18,0.9839586158871577,0.8626479807496071,0.5334575814008713,nan,0.05453398158507688,0.06010497633367777,1000.0,nan,nan,0,131,0,51043,0.7284910040242332,0.3149156430363655,0.9839586158871577,0.9839586158871577,0.0,0.43666666666666665,0.18137662115607014,0.15861495879276666,1.1877671991075789,0.5883465494712193,0.9839586158871577,0.0,0.57,0.9860816216377859,0.7561421045983748
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,19,1.022216540748102,0.8642534786462783,0.5206646022200584,nan,0.05316358059644699,0.05682877715677023,1000.0,0.0,nan,0,219,0,50651,0.6994462741745843,0.286530046860377,1.0222165407481023,1.0222165407481023,0.1111111111111111,0.7266666666666667,0.18446383987376316,0.14654652826749578,1.1756834520234003,0.5300184733668963,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9854739213408993,0.7554796132002517
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,20,1.0623545611125644,0.8658739784359932,0.5093778869509697,nan,0.04986923102002878,0.05418709632009268,1000.0,nan,nan,0,81,0,51057,0.6711005706053513,0.26782497550050416,1.0623545611125642,1.0623545611125644,0.0,0.27,0.154026640729305,0.13642459673974008,1.0991540597035334,0.5055685381094615,1.0623545611125642,2.220446049250313e-16,0.6,0.9843120987217574,0.74746330445906
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,21,1.1045192595593831,0.8673084780573845,0.4992242522537708,nan,0.04827190988830158,0.051833340128262836,1000.0,nan,nan,0,94,0,50532,0.6699473559856415,0.2476833842198054,1.1045192595593836,1.1045192595593833,0.0,0.31333333333333335,0.1553271846076589,0.12773701712782218,1.1007005998066492,0.4635644560058912,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.98399143244866,0.7438095546113803
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,22,1.148899646893674,0.8686209782958031,0.4898990149796009,nan,0.04640078831177492,0.04991082863261302,1000.0,0.0,nan,0,258,0,51096,0.6324380361116849,0.2307154676814874,1.1488996468936743,1.148899646893674,0.07692307692307693,0.8566666666666667,0.15937558059557613,0.12031038280458395,0.9459531261370733,0.4345685643951098,1.1488996468936743,2.220446049250313e-16,0.63,0.9829484768769354,0.7415485156752215
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,23,1.1932226547715872,0.8698084768652916,0.4815995119512081,nan,0.04526915494352579,0.04809424232691526,1000.0,0.0,nan,0,137,0,50359,0.7936010994017124,0.2173738727470239,1.1932226547715867,1.193222654771587,0.25,0.45,0.17498779626581012,0.11391732598891238,1.1251279041171074,0.4106810310482979,1.193222654771587,2.220446049250313e-16,0.6450000000000001,0.9824714078696236,0.7407485203511802
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,24,1.2237170788729461,0.870778477191925,0.4742320653796196,nan,0.04338803421705961,0.04656661231070757,1000.0,nan,nan,0,141,0,50471,0.5736680626869202,0.20670187120636305,1.2237170788729461,1.2237170788729463,0.0,0.47,0.13968088224844266,0.1083572586376648,0.9533182233572006,0.3934766621390979,1.2237170788729463,2.220446049250313e-16,0.66,0.9820023704424783,0.7386698501720348
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,25,1.255370164114324,0.8718569794297218,0.4674613106250763,nan,0.04198138705558247,0.04499253681550423,1000.0,nan,nan,0,85,0,50905,0.5185557421710756,0.19902702634533245,1.2553701641143242,1.2553701641143242,0.0,0.2833333333333333,0.13567719880576665,0.10338687854763359,0.7932048208183713,0.38395184099674223,1.2553701641143242,2.220446049250313e-16,0.6749999999999999,0.9815086451104619,0.7311379044020605
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,26,1.2882265209338715,0.8728229784965515,0.4610038360953331,nan,0.040918376917640366,0.043629955450693765,1000.0,nan,nan,0,44,0,50454,0.6449599713087082,0.18977715820074081,1.2882265209338717,1.2882265209338717,0.0,0.14666666666666667,0.1394868817676004,0.09893529358265636,1.0337602744499843,0.3627542007962863,1.288226520933872,4.440892098500626e-16,0.69,0.9812995230451925,0.7273072220265311
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,27,1.3223351707503768,0.8736074775457382,0.4554149749875069,nan,0.040049864186180964,0.04254889520506064,1000.0,nan,nan,0,226,0,50842,0.5435370008150736,0.17943585594495137,1.3223351707503763,1.3223351707503765,0.0,0.7533333333333333,0.14199741702521573,0.09494197809106358,0.737058636214998,0.34029736548662187,1.3223351707503765,2.220446049250313e-16,0.705,0.9807979792070478,0.7289950727906411
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,28,1.3577503788831171,0.8744254767894745,0.4501870857179165,nan,0.03917855992913246,0.04155124322821697,1000.0,0.0,nan,0,149,0,50643,0.4903757438063622,0.17251199101408324,1.3577503788831173,1.3577503788831171,0.2,0.49,0.12315376720670472,0.09134373378859581,0.777765291929245,0.3309050307671229,1.3577503788831173,2.220446049250313e-16,0.7200000000000001,0.9800944507665837,0.7261749274151722
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,29,1.3945327218869124,0.8751329800486565,0.4452334278821945,nan,0.03822129964828491,0.040461905958751834,1000.0,nan,nan,0,213,0,50479,0.5372897777706385,0.16604120249549548,1.3945327218869124,1.3945327218869126,0.0,0.71,0.14156191529155593,0.08800527846386592,0.7226709648966789,0.3180883556604385,1.3945327218869124,0.0,0.735,0.97963010384905,0.7248745227076863
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,30,1.4327504734265042,0.8758124786615372,0.4408465349674225,nan,0.03633220894978596,0.039666552717487015,1000.0,nan,nan,0,343,0,50877,0.4928939308111484,0.1602155414223671,1.432750473426504,1.432750473426504,0.0,1.1433333333333333,0.13259347401169574,0.08499820287621927,0.6523079299009763,0.3076788059870402,1.4327504734265044,2.220446049250313e-16,0.75,0.9784161974925073,0.7216622058102128
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,31,1.4724814279430891,0.8763799768686295,0.43666588366031645,nan,0.03617374332887786,0.03876414474099874,1000.0,0.0,nan,0,167,0,50443,0.586204183953149,0.15520286371310552,1.4724814279430891,1.4724814279430893,0.2857142857142857,0.55,0.1418062911605424,0.08222953351098626,0.6611844514097486,0.2989599871635437,1.472481427943089,2.220446049250313e-16,0.7649999999999999,0.97810978501384,0.7198947212608687
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,32,1.5138153326430999,0.8770649787783623,0.43294825211167337,nan,0.035324642062187196,0.03782944717754921,1000.0,0.0,nan,0,92,0,50698,0.514766326546669,0.15204867452383042,1.5138153326430999,1.5138153326430999,0.1,0.30333333333333334,0.11675954401811532,0.07959801935438923,0.6966845333576203,0.29474303474028907,1.5138153326430996,2.220446049250313e-16,0.78,0.9773810514661211,0.7127331639491752
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,33,1.5568571736316952,0.8775664776563644,0.4294943681359291,nan,0.0357134498655796,0.037211931124329564,1000.0,nan,nan,0,10,0,50210,0.5641337841749191,0.14538588677843411,1.556857173631695,1.556857173631695,0.0,0.03333333333333333,0.10160191096276916,0.07716420431362758,0.9950285971164703,0.27791894008715945,1.5568571736316952,0.0,0.795,0.9772005020200882,0.7109542193692844
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,34,1.5961356544147973,0.878099976181984,0.4261912304162979,nan,0.03395498142792629,0.03645837524284919,1000.0,nan,nan,0,41,0,51391,0.4444760645811374,0.1405110136171182,1.5961356544147975,1.5961356544147975,0.0,0.13666666666666666,0.10371139062393249,0.07492176766419233,0.5679135070397303,0.2696420440574487,1.5961356544147978,4.440892098500626e-16,0.81,0.9760952177152369,0.7065457410698522
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,35,1.6303152389904,0.8786364787817001,0.42309934094548224,nan,0.033664520829916,0.03579829058299462,1000.0,nan,nan,0,255,0,50825,0.4607604755596681,0.13584846667945386,1.6303152389903997,1.6303152389903999,0.0,0.85,0.11624220214840987,0.07278588427811238,0.589061745188453,0.2614483024676641,1.6303152389903999,2.220446049250313e-16,0.825,0.9753082396713714,0.7053710248494734
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,36,1.6656394806877934,0.8790359798073769,0.42025833919644356,nan,0.03254213401426872,0.03521325600643953,1000.0,nan,nan,0,34,0,50430,0.4061679393053055,0.13295173287391662,1.6656394806877939,1.6656394806877937,0.0,0.11333333333333333,0.09744236454170561,0.07079967290106676,0.5427267253398895,0.25783943603436155,1.6656394806877939,4.440892098500626e-16,0.84,0.9750776736322465,0.7017870283026955
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,37,1.7021545775828013,0.8794129776954651,0.4176917169988155,nan,0.03169197235256434,0.03455939737459024,1000.0,0.0,nan,0,144,0,50544,0.5578295305371285,0.12951673338810601,1.7021545775828013,1.702154577582801,0.1,0.4766666666666667,0.10874478572562016,0.06895799498360611,0.702324116230011,0.25035776421427725,1.7021545775828018,4.440892098500626e-16,0.855,0.9742916450168022,0.6991276028562213
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,38,1.7399113538860758,0.8797869765758515,0.41524978414177893,nan,0.031542327255010605,0.034012208729982375,1000.0,0.0,nan,0,660,0,51180,0.5376243111160066,0.12551190095643203,1.7399113538860758,1.7399113538860755,0.1111111111111111,2.1933333333333334,0.1368760237045583,0.06717707869959898,0.5218279030587938,0.24079883515834807,1.7399113538860753,4.440892098500626e-16,0.8700000000000001,0.9719243000928851,0.7005137271942654
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,39,1.7789660529514504,0.8801364779472352,0.4128939129412174,nan,0.030502025596797468,0.033444217710445326,1000.0,0.0,nan,0,130,0,50508,0.41533252894878386,0.12221044120689233,1.7789660529514504,1.7789660529514504,0.2,0.4266666666666667,0.09545943336178801,0.0654969552100155,0.6223897457122802,0.23617818156878154,1.7789660529514502,2.220446049250313e-16,0.885,0.9711518155721274,0.699564144458165
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,40,1.8193813121440443,0.8804994788765907,0.4106316131353378,nan,0.030653864352239504,0.03298630074287454,1000.0,nan,nan,0,274,0,50932,0.28554117017322117,0.11828899989525476,1.8193813121440445,1.8193813121440439,0.0,0.9133333333333333,0.08492205147016617,0.06391663721325924,0.38065701723098755,0.22795946031808853,1.8193813121440445,2.220446049250313e-16,0.8999999999999999,0.9708276716159654,0.6973680800570532
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,41,1.8612273687051577,0.8809459763765335,0.40847852289676667,nan,0.03043953632004559,0.03261504602308075,1000.0,0.0,nan,0,453,0,51059,0.4081600122153759,0.11517898331085841,1.8612273687051581,1.861227368705158,0.25,1.4966666666666666,0.10326855469003209,0.06244921284462517,0.555538346990943,0.22227798273166022,1.861227368705158,2.220446049250313e-16,0.915,0.9691797058579273,0.6988367583065513
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,42,1.904583560352156,0.8811729779839516,0.40662836998701096,nan,0.030622705817222595,0.0319945997868975,1000.0,nan,nan,0,208,0,50288,0.512502521276474,0.11296546081701915,1.9045835603521555,1.9045835603521566,0.0,0.6933333333333334,0.11003103590779449,0.06102813067128607,0.6130289236704508,0.21849476511279742,1.9045835603521557,2.220446049250313e-16,0.9299999999999999,0.9689535268822488,0.6995993612571615
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,43,1.9495402035165759,0.8815349766612053,0.4047770293056965,nan,0.02934618464981516,0.031646569184958936,1000.0,0.0,nan,0,328,0,50760,0.35176801805694896,0.11228256039321423,1.9495402035165765,1.949540203516576,0.3333333333333333,1.08,0.08735647184369466,0.05970278131389447,0.4753069654107094,0.21904853095610938,1.9495402035165765,6.661338147750939e-16,0.945,0.967987680320238,0.694236045014438
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,44,1.9962009572946733,0.8817784783244133,0.40318774834275245,nan,0.02873494742172105,0.03133522458995382,1000.0,0.0,nan,0,45,0,50183,0.3781512996980122,0.10938379280269146,1.9962009572946733,1.9962009572946735,0.2857142857142857,0.14333333333333334,0.0776115748022393,0.058464693294456346,0.648934509072985,0.2114417100449403,1.9962009572946728,4.440892098500626e-16,0.96,0.9675898815938007,0.6921508603563388
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,45,2.044685814238566,0.8819524800777435,0.4016787503659725,nan,0.0288544617155019,0.030805348766346774,1000.0,0.0,nan,0,602,0,51226,0.43007935057668123,0.10621238514780998,2.044685814238566,2.044685814238566,0.47058823529411764,1.98,0.10314306179138225,0.057252633444002284,0.4700390521217795,0.20448439160982768,2.0446858142385658,4.440892098500626e-16,0.975,0.9657098546184291,0.6935114753242734
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,46,2.0786677031269156,0.8823129773139954,0.40004667431116103,nan,0.028964099873389517,0.030377019171913464,1000.0,nan,nan,0,290,0,50420,0.3763013354369572,0.10353054918348789,2.078667703126915,2.078667703126915,0.0,0.9666666666666667,0.09986130433534875,0.05605261597180193,0.43656701701028006,0.20058157136042912,2.0786677031269156,0.0,0.99,0.9654820768442152,0.6951223678627689
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,47,2.1134879265457753,0.8824539786577225,0.39878097668290136,nan,0.02737768040969968,0.03006772553548217,1000.0,0.0,nan,0,326,0,50706,0.29105075169354677,0.1021633646140496,2.113487926545776,2.1134879265457758,0.125,1.0833333333333333,0.08305508235267747,0.05494960866968756,0.35666830092668533,0.19862667952974639,2.1134879265457758,4.440892098500626e-16,1.005,0.9651601388278571,0.6914183184596987
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,48,2.1493007737632155,0.8827614775300026,0.39747988671064377,nan,0.027462865891201154,0.02967801020791133,1000.0,0.0,nan,0,243,0,50361,0.5885183449302401,0.09981475614011287,2.1493007737632155,2.1493007737632155,0.14285714285714285,0.8066666666666666,0.12383249353928694,0.053860348213259794,0.6278932860919407,0.19312178110082945,2.1493007737632155,0.0,1.02,0.964867812356031,0.6941029282095422
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,49,2.1861402047376153,0.8829729768633843,0.39607812479138377,nan,0.027344059944152833,0.02938564336548249,1000.0,nan,nan,0,31,0,50397,0.19856857359409333,0.09770309766133627,2.1861402047376153,2.1861402047376153,0.0,0.10333333333333333,0.054302173390862817,0.05281386267822308,0.369161057472229,0.1889656719068686,2.1861402047376153,0.0,1.035,0.9647777885953842,0.6928864262332862
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,50,2.2240427388792705,0.8831414777040482,0.394930374622345,0.9955484497946644,0.02683127937572343,0.28946165392796197,1000.0,0.9912462006079028,1.0,50267,369,0,30,0.6567335554531643,0.08981563583016396,2.22404273887927,0.0,52.714285714285715,167.55666666666667,0.08730243214684284,0.0,1.425436019897461,0.20262315705418588,2.22404273887927,4.440892098500626e-16,1.05,0.9644639225663452,0.6782666663217345
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,51,2.2630477569582963,0.8832834771275521,0.39397293925285337,0.9951478362557147,0.025738045340403914,0.3883927049239477,1000.0,0.9959239130434783,0.994441699604743,50425,530,3,30,0.5658877305686474,0.1506293034305175,2.2630477569582967,0.0,65.875,168.09333333333333,0.0963295429565367,0.0,1.191129021346569,0.27187489286065103,2.2630477569582967,4.440892098500626e-16,1.065,0.9641495646698309,0.6573880289773981
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,52,2.303197848143191,0.8829489776492119,0.394013092815876,0.923083255213405,0.025532754138112068,1.0364152338107426,1000.0,1.0,0.8626390678236705,50193,345,52,30,0.2858207853777068,0.3652923653026422,2.3031978481431916,0.0,41.857142857142854,167.48333333333332,0.060470803146520265,0.0,0.49813992849418093,0.7254906633496284,2.3031978481431916,4.440892098500626e-16,1.08,0.9638638578527807,0.6462264487960089
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,53,2.344539209861966,0.8799609744548798,0.4016591890156269,0.6885153079067451,0.02603404935110699,3.750655014514923,1000.0,0.9979338842975206,0.5364634804353975,50198,541,242,91,0.401993682438677,1.252255189617475,2.344539209861967,0.0,27.181818181818183,168.13333333333333,0.08168781331372348,0.0,0.5363789011131633,2.6254584894577664,2.344539209861967,8.881784197001252e-16,1.095,0.9629562468445655,0.6374523040815048
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,54,2.3871221095865076,0.878136978149414,0.4062491923570633,0.5384872532953393,0.025019869377667255,11.814798022111257,1000.0,0.9906926406926406,0.4158049315184851,50032,420,286,94,0.5575325705788352,3.9291594298680623,2.387122109586507,0.0,12.181818181818182,167.72666666666666,0.0836217817860205,0.0,1.0094165802001953,8.270358451207478,2.387122109586507,4.440892098500626e-16,1.11,0.9620606828580138,0.6310539804940368
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,55,2.431001419315337,0.8822534769773483,0.39591377586126325,0.9113416136765855,0.02446843241341412,39.80089615503947,1000.0,0.9972222222222222,0.8663852193419741,50129,278,48,47,0.6319438368082047,13.284998922348022,2.431001419315337,0.0,28.75,167.25666666666666,0.08090450418528468,0.0,1.2789518237113953,27.860626797676087,2.431001419315337,0.0,1.125,0.9616123048355102,0.6251812760528911
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,56,2.4762372355197746,0.8839679750800132,0.3898864403367043,1.0,0.02427266010393699,140.62384985605877,1000.0,1.0,1.0,50178,278,0,24,0.8158607184886932,46.97270126342774,2.476237235519775,0.0,46.333333333333336,167.26,0.07847603317056909,0.0,1.6282192667325337,98.43669292449951,2.476237235519775,4.440892098500626e-16,1.1400000000000001,0.9613789320179978,0.6151473817156472
