algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.5279924860596656,1.8385330468416214,nan,0.03956696499759952,0.04010415773838758,1000.0,nan,nan,0,0,0,11890,1.134819321334362,0.596115899682045,0.7214611380882578,0.7214611380882578,0.5089270441482464,0.3057479879260063,0.0,0.0,0.1127348916418472,0.11578222883135256,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.9908782577424398,0.821106550809005
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.5443967363983393,1.8000923490524292,nan,0.03933778146038885,0.04004980009049177,1000.0,nan,nan,0,0,0,12078,1.0489085368488147,0.5861611795425415,0.7596944884031196,0.7596944884031193,0.4560763349999552,0.2994189244508743,0.0,0.0,0.11039469564261387,0.11324219775938,0.7596944884031196,0.0,0.48,0.989982766407496,0.8014629005883931
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.5595432358980179,1.7615994316339494,nan,0.03894361723214388,0.03998009826987982,1000.0,nan,nan,0,0,0,10552,1.2237647891044616,0.5126197037100791,0.8001526997791858,0.8001526997791859,0.5770809277892113,0.2737351021170616,0.0,0.0,0.10706450615838961,0.11074255255519853,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.9891054706400038,0.798351357801961
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,14,0.8430464367132451,0.5736539844423533,1.7233206295967103,nan,0.03849080999692281,0.03982381798326969,1000.0,nan,nan,0,0,0,10898,1.186817197004954,0.5463042467832565,0.843046436713245,0.8430464367132453,0.5198644946018854,0.2741064366698265,0.0,0.0,0.10434894653559726,0.1082676175454548,0.843046436713245,1.1102230246251565e-16,0.51,0.9887579567964444,0.7886566274719022
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,15,0.8793723681465165,0.5867252346128226,1.6858774387836457,nan,0.03812330748353686,0.03966843016445637,1000.0,nan,nan,0,0,0,10968,1.1724318209148588,0.5004014682769775,0.8793723681465165,0.8793723681465166,0.5448124025549207,0.2605471290647984,0.0,0.0,0.1016415780037889,0.10589446118353096,0.8793723681465164,1.1102230246251565e-16,0.525,0.9880391376971139,0.7824057160733716
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,16,0.9126284626054437,0.5993087361752987,1.648668358027935,nan,0.03820285052061081,0.03943707525730133,1000.0,nan,nan,0,0,0,11810,1.0136777773499488,0.4878973376750946,0.9126284626054436,0.9126284626054435,0.47178115546703336,0.2510692909359932,0.0,0.0,0.1015089390842983,0.10355573017210867,0.9126284626054437,0.0,0.54,0.9874616456754907,0.7735001917635155
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,17,0.9474622637610021,0.6112912356853485,1.6119508421421052,nan,0.03742604475054476,0.0391000908613205,1000.0,nan,nan,0,0,0,10802,1.1742496026886835,0.48620025724172594,0.947462263761002,0.9474622637610018,0.5209988637102975,0.24748606100678444,0.0,0.0,0.09670576833122344,0.10117436898762712,0.9474622637610021,0.0,0.555,0.986900591194818,0.7684824098962785
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,18,0.9839586158871577,0.6224577334523201,1.5761488476395606,nan,0.037285187237319495,0.03866782117635012,1000.0,nan,nan,0,0,0,11156,1.0359714641457511,0.47862641006708145,0.9839586158871577,0.9839586158871579,0.5068892474685397,0.2439071048796177,0.0,0.0,0.09635055529094509,0.09869009967788296,0.9839586158871577,0.0,0.57,0.986113415844529,0.7603884258488929
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,19,1.022216540748102,0.6330964840203523,1.54079625248909,nan,0.0368698098593288,0.038267407976090906,1000.0,nan,nan,0,0,0,11270,0.9507532136307822,0.46669397413730623,1.0222165407481023,1.0222165407481025,0.42664526734087205,0.23875099033117295,0.0,0.0,0.09270418816704558,0.09617970776648009,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9855735558658152,0.7532483763008668
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,20,1.0623545611125644,0.6431369848549366,1.5065871861577034,nan,0.03618556565859101,0.03792408637702465,1000.0,nan,nan,0,0,0,11266,0.9688806181604211,0.4770768478512764,1.0623545611125642,1.0623545611125644,0.4563788819042119,0.23906027093529703,0.0,0.0,0.089940277893309,0.09364541277445408,1.0623545611125642,2.220446049250313e-16,0.6,0.9847867849355557,0.7424911905452163
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,21,1.1045192595593831,0.6523214860260487,1.4728799971938134,nan,0.035605854789416,0.03748309552669525,1000.0,nan,nan,0,0,0,10734,1.1414884209632874,0.4215130677819252,1.1045192595593836,1.1045192595593833,0.535683955748876,0.22248500138521193,0.0,0.0,0.08797786873350608,0.09109276942803055,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.9844270819885174,0.7380625733059272
