algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,0,0.0,0.5702499859035015,1.8744968423247337,0.0,0.3554462641477585,0.3552217015624046,,0.0,0.0,0.1247412651233996,0.5580779081583023
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,1,0.0,0.7247169825434685,1.4500014778971673,0.0,0.3630640433728695,0.3651416853070259,,0.0,0.0,0.09559311222677168,0.5212973034381867
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,2,0.0,0.7918742303550244,1.109999480545521,0.0,0.3252833507210016,0.33094028264284137,,0.0,0.0,0.10277266327757388,0.5044690120220184
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,3,0.0,0.8235779798030853,0.8850343044102192,0.0,0.2660777822881937,0.27222789168357847,,0.0,0.0,0.1002373871807423,0.4701472565531731
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,4,0.0,0.8407659786939621,0.7453436613082886,0.0,0.2121343008801341,0.21997388407588006,,0.0,0.0,0.05939305695291194,0.4080292135477066
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,5,0.0,0.8517112287878991,0.6553355784714222,0.0,0.17244922801852225,0.18144277229905129,,0.0,0.0,0.14355248048539376,0.41173370748758314
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,6,0.0,0.8597929774224758,0.5940080948174,0.0,0.14455886740237475,0.15526008680462838,,0.0,0.0,0.06466321165983875,0.36930593132972717
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,7,0.0,0.8657092276215553,0.5498997265100479,0.0,0.12474395029246807,0.13603660792112351,,0.0,0.0,0.05891874166925184,0.374907378256321
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,8,0.0,0.8705294781923294,0.5169868445396424,0.0,0.1102103010378778,0.12331640854477882,,0.0,0.0,0.09196264607210954,0.3867552036046982
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,9,0.0,0.8741449780762196,0.49114044807851315,0.0,0.09924988178536295,0.113867092654109,,0.0,0.0,0.10239577223546803,0.377446274459362
dpsgd-kurtosis,scale,mnist,42,500,100,0.85,0.0234,0.05,iid,1.0,10,10,0.0,0.8705874789506197,0.48933042980730534,0.9534830950760154,0.09060775132849813,1.0652281963825225,,0.9196358224634509,0.9899170750094233,11.675943089755796,46.67547481536865
