algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,S_agg_norm_honest,S_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,0,0.2635107699722956,0.3771969885379076,2.0970317673683168,nan,0.17777395993471146,0.17517175450921058,1000.0,nan,nan,0,0,0,50158,1.5403538346290588,0.9191233559449514,0.26351076997229567,0.26351076997229567,0.0,0.0,3.850884437561035,2.297808341185252,0.6541288649229685,0.6456431827023746,0.26351076997229567,5.551115123125783e-17,0.3,0.9999805065475013,0.9963267365791977
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,1,0.30216558923805237,0.5466839867830277,1.9001785385608674,nan,0.17931003123521805,0.180221090366443,1000.0,nan,nan,0,0,0,51210,1.6845219433307648,1.0737102963527043,0.3021655892380524,0.30216558923805237,0.0,0.0,4.211304863293965,2.2944645873705545,0.633524136033725,0.6370702969358966,0.3021655892380525,1.1102230246251565e-16,0.315,0.9990637600452746,0.9786439811027151
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,2,0.34410266237445,0.6460209819674492,1.6952939838171006,nan,0.18120952116118538,0.18337088967363038,1000.0,nan,nan,0,0,0,51100,1.4256088468763564,1.1307314604520797,0.3441026623744499,0.3441026623744499,0.0,0.0,3.564022011227078,2.3151888434092203,0.609302556410749,0.6251666946290649,0.3441026623744499,5.551115123125783e-17,0.33,0.9986730797161537,0.9615247170427899
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,3,0.38986963149288734,0.7035824820399285,1.5039483845233916,nan,0.17717202752828598,0.18360479444265365,1000.0,nan,nan,0,0,0,51242,1.7275002002716064,1.1389653845628103,0.38986963149288734,0.38986963149288734,0.0,0.0,4.28488108089992,2.27613623102506,0.5665594912804383,0.6093033873895509,0.38986963149288734,0.0,0.345,0.9972660674562224,0.9449690497165729
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,4,0.44226468151870224,0.7451639825105667,1.325473017692566,nan,0.1674790067805184,0.1801923787097136,1000.0,nan,nan,0,0,0,50968,1.4101928075154622,1.130017983118693,0.4422646815187023,0.44226468151870224,0.0,0.0,3.4619776937696667,2.228197404543559,0.511404582538115,0.5899905014474458,0.44226468151870235,1.1102230246251565e-16,0.36,0.9968949428753366,0.9291492161107963
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,5,0.5315777515144099,0.7744884818792344,1.1697081500291824,nan,0.15981600681940714,0.17571987489859264,1000.0,nan,nan,0,0,0,50564,1.7209561467170715,1.0829269667466481,0.53157775151441,0.53157775151441,0.0,0.0,3.975899418195089,2.096747417052587,0.47699493942324017,0.567619067832662,0.53157775151441,1.1102230246251565e-16,0.375,0.9966920225540864,0.9206221126051596
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,6,0.558999622203959,0.7956394785642624,1.041045744717121,nan,0.1440611481666565,0.1683173414071401,1000.0,nan,nan,0,0,0,50646,1.4572167226246424,1.0334252480665842,0.5589996222039592,0.558999622203959,0.0,0.0,3.4738680635179793,1.9910530734062195,0.4234187754917093,0.5372567674612131,0.5589996222039593,2.220446049250313e-16,0.39,0.9963792631075951,0.9109985474485414
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,7,0.5880046216568433,0.8103459790349007,0.9393050271272659,nan,0.12721483409404755,0.1573966859281063,1000.0,nan,nan,0,0,0,51486,1.1966008245944977,0.9788933863242467,0.5880046216568432,0.5880046216568432,0.0,0.0,2.8991105215890065,1.8825486024220786,0.3646495083968369,0.5001742880652759,0.5880046216568433,0.0,0.405,0.9950676498724079,0.8878128685071094
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,8,0.6186656634250423,0.820966981947422,0.8586764687299728,nan,0.11552283068497976,0.14405590792497,1000.0,nan,nan,0,0,0,51670,1.1161112825075785,0.9133605962991714,0.6186656634250421,0.6186656634250421,0.0,0.0,2.6221331357955933,1.7337164529164633,0.3250416902145347,0.4588020164001504,0.6186656634250423,0.0,0.42,0.9936339886780252,0.8634385489057886
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,9,0.6510644430024428,0.8292659789323806,0.7927160882949829,nan,0.10581940226256847,0.13082112001876037,1000.0,nan,nan,0,3,0,51625,1.1087402651707332,0.8325517527262369,0.6510644430024426,0.6510644430024427,0.0,0.01,2.32989768187205,1.5530551195144653,0.3376907882745839,0.41647504993986206,0.6510644430024427,1.1102230246251565e-16,0.435,0.9929101043249792,0.8426191584866563
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.8358199787139893,0.7399157553911209,nan,0.09326114166866649,0.11809848129749298,1000.0,nan,nan,0,0,0,51156,0.9650979583913629,0.757396276195844,0.6852937746268957,0.6852937746268957,0.0,0.0,2.2799469232559204,1.4080803020795187,0.25253606037411236,0.37408486364387744,0.6852937746268957,0.0,0.44999999999999996,0.9920874172605743,0.8225397449046983
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.8413459789752961,0.6964060792326927,nan,0.08757208918149655,0.10634230193992456,1000.0,nan,nan,0,0,0,51594,0.9645280196116521,0.6747960533698399,0.7214611380882578,0.7214611380882577,0.0,0.0,2.0204512981268077,1.2349565001328786,0.26275053651517866,0.33333272855345975,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.991072630823854,0.8043237119205705
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.8458549797534942,0.6603454077243804,nan,0.0813295291736722,0.09592182459930579,1000.0,nan,nan,0,0,0,50592,1.2731562107801437,0.591679683526357,0.7596944884031196,0.7596944884031195,0.0,0.0,2.6161146610975266,1.0646760751803717,0.2626886476033241,0.2959625044444164,0.7596944884031196,0.0,0.48,0.9906399098120575,0.8003910107373065
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.8494114780426025,0.630361644923687,nan,0.07317214161157608,0.08727843100825945,1000.0,nan,nan,0,0,0,50896,0.8760960817337036,0.5273894485831261,0.8001526997791858,0.8001526997791857,0.0,0.0,1.7571046710014344,0.9652567032972972,0.22826992226177967,0.263272386573701,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.9898596811596341,0.7907642385611549
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,14,0.8430464367132451,0.85307147949934,0.6046310338377953,nan,0.06851499634129661,0.07983664078017076,1000.0,nan,nan,0,0,0,50650,0.7671584529536111,0.47176368872324626,0.843046436713245,0.8430464367132453,0.0,0.0,1.5693938391549247,0.8650733675559362,0.21216143401512116,0.2348473513348329,0.843046436713245,1.1102230246251565e-16,0.51,0.9895739547743646,0.783177732009087
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,15,0.8793723681465165,0.8557744759321213,0.5829718264937401,nan,0.06450894102454185,0.07348260477185249,1000.0,0.0,nan,0,60,0,50638,0.8561145729488797,0.4193712563316027,0.8793723681465165,0.8793723681465166,0.1111111111111111,0.19666666666666666,1.7022238704893324,0.7611540081103643,0.21317812950076978,0.2105013842986222,0.8793723681465164,1.1102230246251565e-16,0.525,0.9889657948177039,0.7802907517003868
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,16,0.9126284626054437,0.858378980755806,0.5639521247148513,nan,0.061219632253050806,0.06828864755729834,1000.0,nan,nan,0,169,0,51101,0.7388296544551849,0.3804132012526194,0.9126284626054436,0.9126284626054435,0.0,0.5633333333333334,1.2641844630241394,0.703821518222491,0.21617081700528903,0.19002964649424847,0.9126284626054437,0.0,0.54,0.988412917844923,0.7717527906971421
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,17,0.9474622637610021,0.8603849762678146,0.5476959893107414,nan,0.05744593455032869,0.06386716948201258,1000.0,nan,nan,0,66,0,50926,0.7343570833856409,0.3440018338958422,0.947462263761002,0.947462263761002,0.0,0.22,1.2797336415811018,0.6319328000148138,0.19019782818057526,0.17296743588602637,0.9474622637610021,0.0,0.555,0.9875744283628195,0.7660273443567475
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,18,0.9839586158871577,0.8626479807496071,0.5334575814008713,nan,0.05453398158507688,0.06010497633367777,1000.0,nan,nan,0,131,0,51043,0.7284910040242332,0.3149156430363655,0.9839586158871577,0.9839586158871577,0.0,0.43666666666666665,1.1877671991075789,0.5883465494712193,0.18137662115607014,0.15861495879276666,0.9839586158871577,0.0,0.57,0.9860816216377859,0.7561421045983748
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,19,1.022216540748102,0.8642534786462783,0.5206646022200584,nan,0.05316358059644699,0.05682877715677023,1000.0,0.0,nan,0,219,0,50651,0.6994462741745843,0.286530046860377,1.0222165407481023,1.0222165407481023,0.1111111111111111,0.7266666666666667,1.1756834520234003,0.5300184733668963,0.18446383987376316,0.14654652826749578,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9854739213408993,0.7554796132002517
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,20,1.0623545611125644,0.8658739784359932,0.5093778869509697,nan,0.04986923102002878,0.05418709632009268,1000.0,nan,nan,0,81,0,51057,0.6711005706053513,0.26782497550050416,1.0623545611125642,1.0623545611125644,0.0,0.27,1.0991540597035334,0.5055685381094615,0.154026640729305,0.13642459673974008,1.0623545611125642,2.220446049250313e-16,0.6,0.9843120987217574,0.74746330445906
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,21,1.1045192595593831,0.8673084780573845,0.4992242522537708,nan,0.04827190988830158,0.051833340128262836,1000.0,nan,nan,0,94,0,50532,0.6699473559856415,0.2476833842198054,1.1045192595593836,1.1045192595593833,0.0,0.31333333333333335,1.1007005998066492,0.4635644560058912,0.1553271846076589,0.12773701712782218,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.98399143244866,0.7438095546113803
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,22,1.148899646893674,0.8686209782958031,0.4898990149796009,nan,0.04640078831177492,0.04991082863261302,1000.0,0.0,nan,0,258,0,51096,0.6324380361116849,0.2307154676814874,1.1488996468936743,1.148899646893674,0.07692307692307693,0.8566666666666667,0.9459531261370733,0.4345685643951098,0.15937558059557613,0.12031038280458395,1.1488996468936743,2.220446049250313e-16,0.63,0.9829484768769354,0.7415485156752215
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,23,1.1932226547715872,0.8698084768652916,0.4815995119512081,nan,0.04526915494352579,0.04809424232691526,1000.0,0.0,nan,0,137,0,50359,0.7936010994017124,0.2173738727470239,1.1932226547715867,1.193222654771587,0.25,0.45,1.1251279041171074,0.4106810310482979,0.17498779626581012,0.11391732598891238,1.193222654771587,2.220446049250313e-16,0.6450000000000001,0.9824714078696236,0.7407485203511802
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,24,1.2237170788729461,0.870778477191925,0.4742320653796196,nan,0.04338803421705961,0.04656661231070757,1000.0,nan,nan,0,141,0,50471,0.5736680626869202,0.20670187120636305,1.2237170788729461,1.2237170788729463,0.0,0.47,0.9533182233572006,0.3934766621390979,0.13968088224844266,0.1083572586376648,1.2237170788729463,2.220446049250313e-16,0.66,0.9820023704424783,0.7386698501720348
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,25,1.255370164114324,0.8718569794297218,0.4674613106250763,nan,0.04198138705558247,0.04499253681550423,1000.0,nan,nan,0,85,0,50905,0.5185557421710756,0.19902702634533245,1.2553701641143242,1.2553701641143242,0.0,0.2833333333333333,0.7932048208183713,0.38395184099674223,0.13567719880576665,0.10338687854763359,1.2553701641143242,2.220446049250313e-16,0.6749999999999999,0.9815086451104619,0.7311379044020605
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,26,1.2882265209338715,0.8728229784965515,0.4610038360953331,nan,0.040918376917640366,0.043629955450693765,1000.0,nan,nan,0,44,0,50454,0.6449599713087082,0.18977715820074081,1.2882265209338717,1.2882265209338717,0.0,0.14666666666666667,1.0337602744499843,0.3627542007962863,0.1394868817676004,0.09893529358265636,1.288226520933872,4.440892098500626e-16,0.69,0.9812995230451925,0.7273072220265311
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,27,1.3223351707503768,0.8736074775457382,0.4554149749875069,nan,0.040049864186180964,0.04254889520506064,1000.0,nan,nan,0,226,0,50842,0.5435370008150736,0.17943585594495137,1.3223351707503763,1.3223351707503765,0.0,0.7533333333333333,0.737058636214998,0.34029736548662187,0.14199741702521573,0.09494197809106358,1.3223351707503765,2.220446049250313e-16,0.705,0.9807979792070478,0.7289950727906411
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,28,1.3577503788831171,0.8744254767894745,0.4501870857179165,nan,0.03917855992913246,0.04155124322821697,1000.0,0.0,nan,0,149,0,50643,0.4903757438063622,0.17251199101408324,1.3577503788831173,1.3577503788831171,0.2,0.49,0.777765291929245,0.3309050307671229,0.12315376720670472,0.09134373378859581,1.3577503788831173,2.220446049250313e-16,0.7200000000000001,0.9800944507665837,0.7261749274151722
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,29,1.3945327218869124,0.8751329800486565,0.4452334278821945,nan,0.03822129964828491,0.040461905958751834,1000.0,nan,nan,0,213,0,50479,0.5372897777706385,0.16604120249549548,1.3945327218869124,1.3945327218869126,0.0,0.71,0.7226709648966789,0.3180883556604385,0.14156191529155593,0.08800527846386592,1.3945327218869124,0.0,0.735,0.97963010384905,0.7248745227076863
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,30,1.4327504734265042,0.8758124786615372,0.4408465349674225,nan,0.03633220894978596,0.039666552717487015,1000.0,nan,nan,0,343,0,50877,0.4928939308111484,0.1602155414223671,1.432750473426504,1.432750473426504,0.0,1.1433333333333333,0.6523079299009763,0.3076788059870402,0.13259347401169574,0.08499820287621927,1.4327504734265044,2.220446049250313e-16,0.75,0.9784161974925073,0.7216622058102128
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,31,1.4724814279430891,0.8763799768686295,0.43666588366031645,nan,0.03617374332887786,0.03876414474099874,1000.0,0.0,nan,0,167,0,50443,0.586204183953149,0.15520286371310552,1.4724814279430891,1.4724814279430893,0.2857142857142857,0.55,0.6611844514097486,0.2989599871635437,0.1418062911605424,0.08222953351098626,1.472481427943089,2.220446049250313e-16,0.7649999999999999,0.97810978501384,0.7198947212608687
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,32,1.5138153326430999,0.8770649787783623,0.43294825211167337,nan,0.035324642062187196,0.03782944717754921,1000.0,0.0,nan,0,92,0,50698,0.514766326546669,0.15204867452383042,1.5138153326430999,1.5138153326430999,0.1,0.30333333333333334,0.6966845333576203,0.29474303474028907,0.11675954401811532,0.07959801935438923,1.5138153326430996,2.220446049250313e-16,0.78,0.9773810514661211,0.7127331639491752
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,33,1.5568571736316952,0.8775664776563644,0.4294943681359291,nan,0.0357134498655796,0.037211931124329564,1000.0,nan,nan,0,10,0,50210,0.5641337841749191,0.14538588677843411,1.556857173631695,1.556857173631695,0.0,0.03333333333333333,0.9950285971164703,0.27791894008715945,0.10160191096276916,0.07716420431362758,1.5568571736316952,0.0,0.795,0.9772005020200882,0.7109542193692844
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,34,1.5961356544147973,0.878099976181984,0.4261912304162979,nan,0.03395498142792629,0.03645837524284919,1000.0,nan,nan,0,41,0,51391,0.4444760645811374,0.1405110136171182,1.5961356544147975,1.5961356544147975,0.0,0.13666666666666666,0.5679135070397303,0.2696420440574487,0.10371139062393249,0.07492176766419233,1.5961356544147978,4.440892098500626e-16,0.81,0.9760952177152369,0.7065457410698522
