algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,S_agg_norm_honest,S_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,82,3.653145283543021,0.8856434768438339,0.3819511294364929,1.0,0.020430403451124828,156590587876.69333,1000.0,1.0,1.0,49991,91,0,6,0.6179235577583313,57079846952.96,3.6531452835430205,0.0,30.333333333333332,166.63666666666666,1.3251282374064128,109613408996.69333,0.04515499167778736,0.0,3.6531452835430205,4.440892098500626e-16,1.53,0.9423570401617533,0.28136078428888434
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,83,3.706935258484402,0.8856804770231247,0.3819574525952339,0.9941084045077421,0.01917749345302582,392090994715.30664,1000.0,0.9884935897435898,1.0,50380,483,0,67,0.4118060678243637,142916652960.42667,3.706935258484401,0.0,48.3,167.93333333333334,0.7609217286109924,274463690861.22665,0.05198565199927715,0.0,3.706935258484401,8.881784197001252e-16,1.5450000000000002,0.9418279069308857,0.2734969040572192
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,84,3.7621516572892535,0.8857254782319068,0.3819331692159176,1.0,0.019125405166830336,982070039756.8,1000.0,1.0,1.0,50370,470,0,30,0.47269887157848905,357917410167.4667,3.762151657289252,0.0,67.14285714285714,167.9,0.7462528175009149,687449018668.3733,0.04877748355400174,0.0,3.762151657289252,1.3322676295501878e-15,1.56,0.9415787736085388,0.26151358703851124
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,85,3.818852916980401,0.8856674775481224,0.38190958827733995,0.9983553320762624,0.019156530732288957,2457723530444.8,1000.0,0.9967328370554177,1.0,50437,539,0,40,0.5421673990786076,895800427888.64,3.818852916980402,0.0,67.375,168.12333333333333,0.8094012109795585,1720406433518.9333,0.06413551473836078,0.0,3.818852916980402,8.881784197001252e-16,1.575,0.9411982696903113,0.2566748255760863
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,86,3.874737541093223,0.8857659760117531,0.3820042522251606,1.0,0.01835540756583214,6148874655279.787,1000.0,1.0,1.0,50018,118,0,20,0.4942414700984955,2241268005819.7334,3.8747375410932245,0.0,23.6,166.72666666666666,0.8492719888687134,4304212166792.533,0.04224989486200439,0.0,3.8747375410932245,1.3322676295501878e-15,1.5899999999999999,0.9410100765638745,0.25407728760172543
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,87,3.916240373005058,0.8857134780287743,0.38214328706264494,0.9836421748186455,0.018140020159383614,15399983506172.586,1000.0,0.9691932891299979,1.0,50166,270,0,20,0.7373851438363394,5611800891009.707,3.9162403730050594,0.0,45.0,167.22,1.1201294263203938,10779988225338.027,0.062485837855372484,0.0,3.9162403730050594,1.3322676295501878e-15,1.6050000000000002,0.9407875585163452,0.2508399967568056
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,88,3.958594794875645,0.8858204782009125,0.382036175429821,0.9302564102564101,0.018152157217264174,38538451537100.8,1000.0,0.8939393939393939,1.0,50104,206,0,14,0.4965434193611145,14044414897466.027,3.958594794875645,0.0,41.2,167.01333333333332,1.027778398990631,26976915585761.28,0.041017763253940284,0.0,3.958594794875645,0.0,1.62,0.9406656687007433,0.24801336771355906
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,89,4.00182186932881,0.8858954757452011,0.38195288375020026,0.9916068358782487,0.01928745603395833,96462914579333.12,1000.0,0.983692578686321,1.0,50356,461,0,53,0.5112044148974948,35150334995551.574,4.0018218693288095,0.0,51.22222222222222,167.85333333333332,0.9257887800534567,67524038738575.36,0.05703469445724892,0.0,4.0018218693288095,8.881784197001252e-16,1.635,0.9401820661856157,0.2398152373142529
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,90,4.045943537463281,0.885867977142334,0.3820329824090004,0.9953041962034768,0.017908788286149502,241470556113032.53,1000.0,0.9909662169952728,1.0,50437,541,0,162,0.35794913130147116,87982076864757.77,4.045943537463281,0.0,38.642857142857146,168.12333333333333,0.51980117389134,169029385888727.03,0.04607493266188522,0.0,4.045943537463281,0.0,1.65,0.9386585249411757,0.2306297146267104
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,91,4.090982666874294,0.8858469766378403,0.382232369184494,1.0,0.017989927902817726,603871441126249.9,1000.0,1.0,1.0,50217,317,0,32,0.6963075995445251,220059004193559.9,4.090982666874295,0.0,45.285714285714285,167.39,1.2283271721431188,422709998928964.25,0.0633318069710783,0.0,4.090982666874295,8.881784197001252e-16,1.6649999999999998,0.9383500365880098,0.22693544412177086
