algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,D_threshold_honest,D_threshold_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,S_agg_norm_honest,S_agg_norm_attacker,V_agg_norm_honest,V_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,38,1.7399113538860758,0.7796066462993622,0.6238999970753988,nan,0.03600886076067885,0.03627093771472573,1000.0,0.0,nan,0,322,0,31080,0.12649225104000625,0.06803654449740522,1.7399113538860755,1.7399113538860758,0.16666666666666666,1.59,0.808095016827186,0.25616978339850904,0.8218468024084965,0.13305250953882933,1.7399113538860753,4.440892098500626e-16,0.8700000000000001,0.9719083692654134,0.6957911935490423
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,39,1.7789660529514504,0.780488314429919,0.6211942249536514,nan,0.03659585447838673,0.0355141257494688,1000.0,0.0,nan,0,87,0,30571,0.0880137414168808,0.06663019601697644,1.7789660529514504,1.7789660529514504,0.07692307692307693,0.43,0.844021194256269,0.2528889787942171,0.4686664342880249,0.1299904565513134,1.7789660529514502,2.220446049250313e-16,0.885,0.9713531980178193,0.694057293315873
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,40,1.8193813121440443,0.7812389800945918,0.6191223231951396,nan,0.03568219318985939,0.035714764883741736,1000.0,0.0,nan,0,285,0,30781,0.09877100295120567,0.06542581879323225,1.8193813121440439,1.8193813121440445,0.06666666666666667,1.42,0.7591127971808116,0.24950374335050582,0.5304097364346186,0.1280211215093732,1.8193813121440445,2.220446049250313e-16,0.8999999999999999,0.9706896973277471,0.693100533221353
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,41,1.8612273687051577,0.7820853130022685,0.6168054008483886,nan,0.03528792070953742,0.03511817250400782,1000.0,0.0,nan,0,220,0,31206,0.09652672536642243,0.06423774199057884,1.861227368705158,1.8612273687051581,0.13043478260869565,1.085,0.7331718569216521,0.240700863301754,0.49912400997203327,0.12415565494447947,1.861227368705158,2.220446049250313e-16,0.915,0.9691627704302899,0.6923844182517314
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,42,1.904583560352156,0.7824116462469101,0.6149335819482803,nan,0.034655902800815444,0.03490279805846512,1000.0,0.0,nan,0,205,0,31111,0.0937836978756618,0.06310072410664867,1.9045835603521566,1.9045835603521555,0.07142857142857142,1.02,0.640491640993527,0.2435145416855812,0.43115977730069843,0.12414783496409655,1.9045835603521557,2.220446049250313e-16,0.9299999999999999,0.9686591204226153,0.6860953551983513
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,43,1.9495402035165759,0.7832703143358231,0.6126250523328781,nan,0.034569831668502755,0.034858637945726516,1000.0,0.0,nan,0,260,0,30964,0.08783945503285985,0.0620515845544173,1.949540203516576,1.9495402035165765,0.2777777777777778,1.275,0.6517653067906698,0.23162878021597863,0.4564722999930382,0.12017192494124174,1.9495402035165765,6.661338147750939e-16,0.945,0.9677221535100072,0.6850062710697175
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,44,1.9962009572946733,0.7838426478703817,0.6105831976731618,nan,0.03420301371564468,0.034443834088742735,1000.0,0.0,nan,0,329,0,30983,0.09764779096028836,0.06113403376446245,1.9962009572946735,1.9962009572946733,0.2222222222222222,1.625,0.6716641667816374,0.2320921841263771,0.4546016330520312,0.1185795982554555,1.9962009572946728,4.440892098500626e-16,0.96,0.9667810057418716,0.6846351694673457
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,45,2.044685814238566,0.7843759779135386,0.6088983766237894,nan,0.0342736059711093,0.03424428100697696,1000.0,0.0,nan,0,518,0,31268,0.09488190167546061,0.060136790579347815,2.044685814238566,2.044685814238566,0.23809523809523808,2.565,0.6714957030046553,0.22585303671658039,0.499009323262033,0.11676604982465505,2.0446858142385658,4.440892098500626e-16,0.975,0.965495049196849,0.6851862453933566
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,46,2.0786677031269156,0.7850943112373352,0.6071055529514948,nan,0.031335408206690445,0.03383268410339951,1000.0,nan,nan,0,398,0,30580,0.09610589894501262,0.059202179326986445,2.078667703126915,2.078667703126915,0.0,1.99,0.8175730109214783,0.22569452188909053,0.5324327065186067,0.11552082605659962,2.0786677031269156,0.0,0.99,0.965273274943209,0.6861854607325634
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,47,2.1134879265457753,0.7855126458406448,0.6056006703774134,nan,0.033230656867518145,0.033713207803666594,1000.0,0.0,nan,0,319,0,31437,0.08051056157914734,0.05832747365214965,2.1134879265457758,2.113487926545776,0.058823529411764705,1.59,0.5973288136370042,0.22371574081480503,0.37242940418860493,0.11445936471223832,2.1134879265457758,4.440892098500626e-16,1.005,0.964581129297559,0.6818581977388287
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,48,2.1493007737632155,0.7861309802532196,0.6039354431629181,nan,0.03197732601653446,0.0333178533334285,1000.0,0.0,nan,0,153,0,30443,0.1048026349505573,0.05738142840407374,2.1493007737632155,2.1493007737632155,0.18181818181818182,0.755,0.8856216235594316,0.21464388459920883,0.7275621850382198,0.11092873714864254,2.1493007737632155,0.0,1.02,0.9642081531911764,0.682073189460502
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,49,2.1861402047376153,0.7866919809579849,0.6024068613847097,nan,0.03233940984037789,0.03300251158885658,1000.0,nan,nan,0,192,0,30496,0.06777082231490951,0.05648884935516513,2.1861402047376153,2.1861402047376153,0.0,0.96,0.6821628510951996,0.2115076720714569,0.37639260021123017,0.10921034205704927,2.1861402047376153,0.0,1.035,0.9638980264092173,0.6809397878240997
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,50,2.2240427388792705,0.7870069795846939,0.6012333134810129,0.9139035431425316,0.03345882160855191,0.33167496681213376,1000.0,0.9208144796380091,0.8477217172382853,30323,515,88,90,0.09145317685145479,0.0,2.2240427388792696,0.0,30.5,152.055,0.5473191397530692,0.23217247672379016,0.4195002080606563,0.10468278668820857,2.2240427388792696,8.881784197001252e-16,1.05,0.9633938018888776,0.664827443792518
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,51,2.2630477569582963,0.7873689804474513,0.5998854343096415,0.6840279026574231,0.03251974538645961,0.6148368825018405,1000.0,0.8676421404682274,0.524319743968473,30161,487,223,43,0.09110481436829788,0.0,2.2630477569582967,0.0,24.0,151.92,0.6173941784284331,0.4303858169913292,0.47376603971828113,0.21977500915527343,2.2630477569582967,4.440892098500626e-16,1.065,0.9631375996084348,0.6593315366545882
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,52,2.303197848143191,0.7871673134962718,0.6001632807652155,0.436638206754239,0.03192951515890085,2.2304745063185694,1000.0,1.0,0.2935227629385671,30042,500,358,80,0.06910806425798172,0.0,2.3031978481431916,0.0,10.923076923076923,152.0,0.5403352270905788,1.5613321426510811,0.3335758731342279,0.7417170692980289,2.3031978481431916,4.440892098500626e-16,1.08,0.9626927581875875,0.6576729240321083
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,53,2.344539209861966,0.785260980129242,0.611395780245463,0.34778986239815735,0.03051996525997917,7.468993982076645,1000.0,0.9090909090909091,0.2177394199668834,30010,456,345,95,0.07921479541754677,0.0,2.3445392098619666,0.0,9.25,151.775,0.8869770020246506,5.228295724391938,0.5151496827602386,2.4747043910622595,2.3445392098619666,4.440892098500626e-16,1.095,0.962131884030693,0.6533177347138514
