algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,0,0.0,0.5701849858760834,1.8743905613422394,0.0,0.3554013516306877,0.0,,0.0,0.0,0.007717719534412026,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,1,0.0,0.7250933824777603,1.4497902822494506,0.0,0.3630440992116928,0.0,,0.0,0.0,0.0070273081461588545,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,2,0.0,0.7921989814043046,1.1097739136219025,0.0,0.32530607271194456,0.0,,0.0,0.0,0.006272955797612667,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,3,0.0,0.823389580488205,0.8848575803041459,0.0,0.2660278379917145,0.0,,0.0,0.0,0.00494643349000918,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,4,0.0,0.8407017790079117,0.7451898621320725,0.0,0.21202486851811408,0.0,,0.0,0.0,0.004076952831103251,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,5,0.0,0.8517609790563584,0.6551741318702697,0.0,0.17237876173853875,0.0,,0.0,0.0,0.0038707538042217493,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,6,0.0,0.8597717782258988,0.5939491212368011,0.0,0.1444762524366379,0.0,,0.0,0.0,0.003327126223170622,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,7,0.0,0.8657673780918121,0.5499046508073807,0.0,0.124659738317132,0.0,,0.0,0.0,0.003083987860009074,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,8,0.0,0.8705297795534134,0.5168502192497253,0.0,0.1101276992559433,0.0,,0.0,0.0,0.0027821513679649294,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,9,0.0,0.8742027800083161,0.49103369361162186,0.0,0.09912576346099376,0.0,,0.0,0.0,0.0026690192106697294,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,10,0.0,0.8773591785430909,0.47048265385627747,0.0,0.0904826756119728,0.0,,0.0,0.0,0.0025948426881504637,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,11,0.0,0.8801043775081635,0.45345804005861284,0.0,0.08358947710692882,0.0,,0.0,0.0,0.00251376045246919,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,12,0.0,0.8822699767351151,0.4394180137515068,0.0,0.0780216638147831,0.0,,0.0,0.0,0.002297281116868059,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,13,0.0,0.8841865774393082,0.4276449192762375,0.0,0.07340978583693504,0.0,,0.0,0.0,0.0023018065581305158,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,14,0.0,0.8859667766094208,0.41723318785429003,0.0,0.0694296377748251,0.0,,0.0,0.0,0.0022076949115014738,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,15,0.0,0.887345577120781,0.4085154964923859,0.0,0.06589947905391455,0.0,,0.0,0.0,0.0022253306359862504,0.0
