algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,72,6.181818348913463,0.8799214780330658,0.5705028080195188,0.8971905224448894,1.578654944896698,315.1182891845703,1000.0,0.26365280009127445,1.0,10221,357,0,114,6521.068067682322,0.0,140.834766588713,0.0,0.624028037001517,0.0,4.210110589090123,0.0,140.834766588713,0.0,1.892298610586869,7.704997234344482,0.624028037001517,0.0,0.7411232559304488,0.0,4.210110589090123,1.1951088208299292,0.7411232559304488,0.624028037001517,6.689651412963867,309.7507332149104
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,73,6.196632473644194,0.8801127276569605,0.47497378021478653,0.9033368015106789,1.5799389300139055,314.68093589782717,1000.0,0.360337175149879,1.0,10377,586,0,119,6249.459542186511,0.0,141.80246900475544,0.0,0.6277120320385317,0.0,4.275525419513878,0.0,141.80246900475544,0.0,1.5944796204566956,11.722934870719909,0.6277120320385317,0.0,0.7187060947003572,0.0,4.275525419513878,1.2014831960693826,0.7187060947003572,0.6277120320385317,8.153641967773437,359.34392367572434
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,74,6.196632473644194,0.881407728344202,0.4472500841319561,0.8784053354006222,1.5544315404013584,314.4614990234375,1000.0,0.307865598556288,1.0,10316,480,0,114,6452.191555372349,0.0,137.2611268696032,0.0,0.6085514423638199,0.0,4.337052215245332,0.0,137.2611268696032,0.0,0.965880949246256,5.995037541389466,0.6085514423638199,0.0,0.7870264084715592,0.0,4.337052215245332,1.1894577261034271,0.7870264084715592,0.6085514423638199,6.519903526306153,306.4790988801866
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,75,6.196632473644194,0.8811207285523415,0.4231862758100033,0.8176484010104442,1.6571601574358188,314.2338205718994,1000.0,0.4193407467224297,1.0,10345,483,0,116,6269.465117229411,0.0,145.04552098324424,0.0,0.6433274460306526,0.0,4.378318374441557,0.0,145.04552098324424,0.0,0.6062006315118388,10.535054483413695,0.6433274460306526,0.0,0.669518100980081,0.0,4.378318374441557,1.195075808117565,0.669518100980081,0.6433274460306526,6.889662246704102,297.79959306839703
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,76,6.310154152549523,0.8819549779593945,0.40422271966934203,0.8754816084514764,1.7764870375394821,315.35554000854495,1000.0,0.3112370881111216,1.0,10186,316,0,114,6165.102315286524,0.0,137.84698062472873,0.0,0.6114568226754238,0.0,4.425678784066084,0.0,137.84698062472873,0.0,1.1933251669009526,4.050112620592118,0.6114568226754238,0.0,0.7635339664088355,0.0,4.425678784066084,1.1893972244267128,0.7635339664088355,0.6114568226754238,6.203114128112793,277.4296041878936
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,77,6.310154152549523,0.8811017283797264,0.41905922882258895,0.9278207267383094,1.7608674934932165,315.15546127319334,1000.0,0.37430698620374464,1.0,10369,554,0,117,6326.850525862048,0.0,139.42143758138022,0.0,0.6183312123142028,0.0,4.4723479152558845,0.0,139.42143758138022,0.0,2.194035297348386,14.061987552642822,0.6183312123142028,0.0,0.7021513127145314,0.0,4.4723479152558845,1.1943447003454806,0.7021513127145314,0.6183312123142028,7.319625473022461,332.15965260775744
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,78,6.37779679993199,0.8815662261843681,0.41090209312736986,0.963335524932365,1.6402476270283972,315.03066635131836,1000.0,0.5318485920245762,1.0,10457,513,0,110,5638.508611525285,0.0,140.27664838518416,0.0,0.621900154846759,0.0,4.4992801123094175,0.0,140.27664838518416,0.0,1.746090944324221,10.968746795654297,0.621900154846759,0.0,0.7127241369869027,0.0,4.4992801123094175,1.2033508465781506,0.7127241369869027,0.621900154846759,4.909682693481446,197.34780140338498
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,79,6.434750033456884,0.8809457275271416,0.434004420042038,0.8645401747036693,1.5125547741588794,316.03981887817383,1000.0,0.2466895068891073,1.0,10137,299,0,114,6681.02721928744,0.0,136.16447529039885,0.0,0.6034918749399175,0.0,4.557601026769844,0.0,136.16447529039885,0.0,1.1514261584532888,3.314109733104706,0.6034918749399175,0.0,0.750457835824866,0.0,4.557601026769844,1.1835677335778918,0.750457835824866,0.6034918749399175,6.467812576293945,317.3487929161534
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,80,6.434750033456884,0.8814504784345627,0.41345016852021216,0.8972960385118682,1.6270390256591465,313.04301818847654,1000.0,0.5045295717252235,1.0,10726,918,0,118,6333.531599853233,0.0,138.2732524042544,0.0,0.6127492774442639,0.0,4.607522738450585,0.0,138.2732524042544,0.0,1.445487996806269,24.116404590606688,0.6127492774442639,0.0,0.7361105473145194,0.0,4.607522738450585,1.1899706141273931,0.7361105473145194,0.6127492774442639,7.950712013244629,364.1780669915609
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,81,6.434750033456884,0.8816484777629375,0.40519903659820555,0.8586476297362909,1.626943007895821,314.85770446777343,1000.0,0.4560365705773988,1.0,10387,518,0,115,6689.115876985385,0.0,136.70673571134867,0.0,0.60607636700952,0.0,4.650322817329482,0.0,136.70673571134867,0.0,0.9857073269392315,9.784653944969177,0.60607636700952,0.0,0.7361829406336734,0.0,4.650322817329482,1.1868739978603018,0.7361829406336734,0.60607636700952,6.493569946289062,317.73300415680575
