algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.58750761951258,0.8054559797048568,0.7747415826718013,nan,8.191042799698678,8.879091224670411,1000.0,0.0,nan,0,31821,0,213,87.03490528307464,89.47778966903687,222.3204016434519,229.60465980529784,0.984961208372211,1.0180912906884765,2245.979245739514,452.9694439284886,0.984961208372211,1.0180912906884765,0.921682265649907,2.502667076578382,0.9114495170743842,0.8748351135849952,222.3204016434519,229.60465980529784,1.554076190021297,1.1287391704338452,0.8780117056685496,1.0152169913094398,100.29003918457032,266.53498890949703
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.636140239867024,0.8117473140358925,0.7352044246594112,nan,7.610595067342122,8.626913599967956,1000.0,0.0,nan,0,31467,0,213,58.88208431667752,88.98880611419678,234.64406077067056,232.41116088867187,1.0402303348149833,1.0302234895964955,2357.7235228912327,444.7404702737123,1.0402303348149833,1.0302234895964955,0.9875127143093695,2.538309602301951,0.8388136890199449,0.849984110891819,234.64406077067056,232.41116088867187,1.607831469506402,1.1280377683878435,0.8490617824803799,1.0310497428714165,101.41165054321289,262.77423493356935
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.6697122292654334,0.8193156468868256,0.6960118752717972,nan,7.7148284045132725,8.608084890842438,1000.0,0.0,nan,0,30495,0,205,83.10390333695845,93.27917514801025,229.62879111550072,230.37831161499022,1.018964141627559,1.0216185776285271,2629.6890307159915,438.1562001295472,1.018964141627559,1.0216185776285271,1.0287838589028586,2.57493398604458,0.8511211384426464,0.8481282702088356,229.62879111550072,230.37831161499022,1.647243909759547,1.1312730015254606,0.8482842965148637,1.0214801947090455,97.20315805053711,233.1156387275707
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,2.7115002918033904,0.8218329791227976,0.6732055761416753,nan,7.118624687194824,8.464219121932983,1000.0,0.0,nan,0,30763,0,213,58.37517009061926,82.2527598953247,239.73987085679,231.06872581481935,1.0632685947937375,1.0238971765140918,2782.615533268419,431.113442710134,1.0632685947937375,1.0238971765140918,1.0788965415398972,2.6081206437124553,0.7891195451512056,0.8339568337798119,239.73987085679,231.06872581481935,1.6905861824089201,1.1308655854322496,0.8304442351314879,1.026981573337843,100.57864593505859,267.0543052151798
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,2.7495142601296347,0.8274106442928314,0.6472120589017868,nan,7.883972644805908,8.348395128250122,1000.0,0.0,nan,0,30427,0,205,91.6689944797092,79.96365615844726,222.72107781304254,230.85821334838866,0.9852187981635796,1.0236351136324595,2979.5625349693155,423.1627662909382,0.9852187981635796,1.0236351136324595,1.1139255669339108,2.64038740640584,0.8667286303308275,0.8225393491983414,222.72107781304254,230.85821334838866,1.7245103027226825,1.1336597636166104,0.8244422369026111,1.0219808225357137,96.35226473999023,222.89723214582295
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,2.8219615918765286,0.8281779789924621,0.6317119397719702,nan,7.12841260433197,8.321346504688263,1000.0,0.0,nan,0,31038,0,212,60.04574394226074,71.74607429504394,233.16284370422363,229.14225410461427,1.0352640783306097,1.0157409123202432,3113.2763332688355,415.6579533004741,1.0352640783306097,1.0157409123202432,1.1665525394377008,2.6751175884588485,0.7971947435289621,0.8198774263262749,233.16284370422363,229.14225410461427,1.7699785590461596,1.1325039299862698,0.818197227600548,1.0171870727654555,99.11811264038086,265.88802398479237
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,2.9091092106039333,0.8331606459617614,0.608301324446996,nan,7.578159418973056,8.502374022006988,1000.0,0.0,nan,0,30795,0,207,85.18977841463956,91.03212215423584,225.87638161399147,223.43532524108886,1.0002127435958044,0.9904275184242027,3357.8212461419666,396.32487691064523,1.0002127435958044,0.9904275184242027,1.1948110243662506,2.719747112864983,0.8262394720857794,0.8377225401997567,225.87638161399147,223.43532524108886,1.8047854597657436,1.1406369506448162,0.8371238968383644,0.990937648646419,94.34341049194336,232.40201817938134
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,2.9774005181793317,0.8342289779583613,0.5951727006832759,nan,6.82299642264843,8.394410929679871,1000.0,0.0,nan,0,30844,0,210,47.204912424087524,55.87073820114136,230.35662078857422,223.22689849853515,1.0202877833011992,0.9895542751284016,3670.681388020963,383.04953018139537,1.0202877833011992,0.9895542751284016,1.2654314819782126,2.7665949628582838,0.790647940710187,0.8270765170454979,230.35662078857422,223.22689849853515,1.865896874330241,1.1367342601137271,0.824378103983623,0.9918308312893495,96.66217126464844,270.681616489229
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,3.0526594555941986,0.8361593121290207,0.5838218063116074,nan,6.974225103855133,8.202526443004608,1000.0,0.0,nan,0,30647,0,211,50.72241961956024,59.68453872680664,226.960467338562,224.55615631103515,1.0067592601148876,0.9955118567464839,3859.8937513852416,388.69212864664684,1.0067592601148876,0.9955118567464839,1.3297314427386597,2.8110194798894304,0.7946903333067894,0.8081559199094772,226.960467338562,224.55615631103515,1.9222466575989683,1.1329130912836158,0.8071584690500189,0.996344997736736,97.08519747924805,278.9934515029865
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,3.1136540956737973,0.8387919785579045,0.5708295505245526,nan,7.377464077689431,8.100784401893616,1000.0,0.0,nan,0,30811,0,209,64.79793132435192,59.989241981506346,213.43492403897372,224.1719821166992,0.9460051723437424,0.9938906474303676,3884.619130200869,387.7445975569282,0.9460051723437424,0.9938906474303676,1.3774534703019903,2.8550935047207737,0.8560436259616505,0.7981381344795228,213.43492403897372,224.1719821166992,1.9685094840695034,1.1336511077238156,0.8011569041776431,0.9913942482552355,94.36436117553711,240.55945988719043
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,3.186543171026707,0.8404419811566671,0.5598620750506719,nan,6.325213305155436,8.165436651706695,1000.0,0.0,nan,0,30522,0,210,36.16399129231771,78.48975940704345,232.96789957682293,220.75400871276855,1.0339804741564458,0.9787839350746317,3896.7727000749173,373.3212751491561,1.0339804741564458,0.9787839350746317,1.4248826421044105,2.9055208987776133,0.7370933969815572,0.8045106020569801,232.96789957682293,220.75400871276855,2.0171379447736917,1.1352590039297987,0.7998070761214855,0.9826348564059212,95.29064047241211,266.23169106190994
