algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,V_agg_norm_honest,V_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,0,0.2635107699722956,0.37650365600983304,2.0984203012784324,nan,0.1750647212777819,0.17505748324096204,1000.0,nan,nan,0,0,0,30800,0.0,0.0,0.26351076997229567,0.26351076997229567,1.5199516330446516,0.9585434252023697,0.645082641693228,0.6452103106486561,3.7998791422162737,2.3963585090637207,0.26351076997229567,5.551115123125783e-17,0.3,0.9998714125813631,0.9873126323458761
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,1,0.30216558923805237,0.543632986942927,1.9007354497909545,nan,0.1806474570184946,0.17985522478818894,1000.0,nan,nan,0,0,0,31168,0.0,0.0,0.30216558923805237,0.3021655892380524,2.2913043946027756,1.1214202344417572,0.6385741312613675,0.636245217465679,5.659525007009506,2.401562110185623,0.3021655892380525,1.1102230246251565e-16,0.315,0.9991295555669852,0.9733270828109699
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,2,0.34410266237445,0.6403426505128542,1.6972221839427948,nan,0.18254061043262482,0.18427311331033708,1000.0,nan,nan,0,0,0,31306,0.0,0.0,0.3441026623744499,0.3441026623744499,2.20129079023997,1.1963488900661468,0.6130049965353529,0.6257317297982514,5.454139963785807,2.463376466035843,0.3441026623744499,5.551115123125783e-17,0.33,0.9985558712436697,0.9557023290625198
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,3,0.38986963149288734,0.6997059812148412,1.5049161028862,nan,0.17679483443498611,0.18452264823019504,1000.0,nan,nan,0,0,0,31382,0.0,0.0,0.38986963149288734,0.38986963149288734,2.0841851413249968,1.2228463074564935,0.5639733958570019,0.6110497724308875,5.0849318385124205,2.4628055727481843,0.38986963149288734,0.0,0.345,0.9973513868004529,0.9379182000557911
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,4,0.44226468151870224,0.7424673163890838,1.327269167105357,nan,0.16711098168577468,0.18146902985870839,1000.0,nan,nan,0,0,0,31208,0.0,0.0,0.44226468151870224,0.4422646815187023,1.9778289794921875,1.2136009693145753,0.5101016749228615,0.5925417333287831,4.903170619692121,2.411817885041237,0.44226468151870235,1.1102230246251565e-16,0.36,0.9969188655878711,0.9187962206294862
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,5,0.5315777515144099,0.7724433139959971,1.1717295630772908,nan,0.1607090946700838,0.17520476177334784,1000.0,nan,nan,0,0,0,30866,0.0,0.0,0.53157775151441,0.53157775151441,2.26080858707428,1.1639545926451682,0.4819636751876517,0.5699517999310285,5.350962267981635,2.252374770641327,0.53157775151441,1.1102230246251565e-16,0.375,0.9967502916308841,0.9078700238312404
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,6,0.558999622203959,0.7941213136911393,1.0437459907929103,nan,0.14287352164586384,0.16715352676808834,1000.0,nan,nan,0,0,0,31172,0.0,0.0,0.558999622203959,0.5589996222039592,1.7838401357332865,1.1196603325009347,0.42170335212718263,0.5388843891322778,4.261350154876709,2.160489445924759,0.5589996222039593,2.220446049250313e-16,0.39,0.9961289025196017,0.892882158393269
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,7,0.5880046216568433,0.809402980208397,0.9415407351652781,nan,0.12740735958019891,0.15867962934076785,1000.0,nan,nan,0,0,0,31048,0.0,0.0,0.5880046216568432,0.5880046216568432,1.5753317011727228,1.040763458609581,0.3670942085747725,0.5017262655785727,3.7850270668665567,1.9705084758996962,0.5880046216568433,0.0,0.405,0.9950616874411747,0.8813072616293416
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,8,0.6186656634250423,0.8198829795916875,0.8610011718670527,nan,0.11736269910698352,0.14751499719917774,1000.0,nan,nan,0,0,0,31914,0.0,0.0,0.6186656634250421,0.6186656634250421,1.406764364760855,0.9680478686094284,0.3405339785185924,0.4611883576695828,3.084495326747065,1.831391866207123,0.6186656634250423,0.0,0.42,0.9935151292836657,0.8603960502117262
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,9,0.6510644430024428,0.828156312306722,0.7950029975175857,nan,0.10634804517030716,0.1336302737891674,1000.0,nan,nan,0,0,0,31738,0.0,0.0,0.6510644430024427,0.6510644430024426,1.403195599714915,0.890287899672985,0.33230383443325995,0.4193717024031825,3.0254664619763694,1.6695044243335724,0.6510644430024427,1.1102230246251565e-16,0.435,0.992711021113905,0.8406443016962053
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.8347443135579428,0.7419005038340887,nan,0.09577841821469758,0.12005597945302725,1000.0,nan,nan,0,0,0,32034,0.0,0.0,0.6852937746268957,0.6852937746268957,1.1033068613002175,0.8158223909139634,0.2790124037096281,0.37825731209928243,2.511571721026772,1.5308889478445054,0.6852937746268957,0.0,0.44999999999999996,0.9918540478654616,0.816055171508967
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.840394312342008,0.6982173224290212,nan,0.08750621726115544,0.10805718258023261,1000.0,nan,nan,0,0,0,31680,0.0,0.0,0.7214611380882577,0.7214611380882578,1.2135127186775208,0.7221048536896706,0.264636759717538,0.3390911008762667,2.459590666823917,1.3221656507253647,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.9909972586451712,0.7997326889658588
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.8450469799836476,0.6619313508272171,nan,0.08109586414965717,0.09788253054022789,1000.0,nan,nan,0,0,0,30700,0.0,0.0,0.7596944884031195,0.7596944884031196,1.3315908800471912,0.6431219932436943,0.2582488997063816,0.3020703443993789,2.8006480390375312,1.1783249074220656,0.7596944884031196,0.0,0.48,0.9906672488457241,0.7923068173859436
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.8487826442718506,0.6319607845942179,nan,0.07466375827789307,0.08878803174942732,1000.0,0.0,nan,0,23,0,30953,0.11764705882352941,0.105,0.8001526997791857,0.8001526997791858,1.2225136090727413,0.562890515178442,0.23364441772900507,0.26830937774882974,2.1704438223558316,1.014190615415573,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.98961656217447,0.7868217532371382
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,14,0.8430464367132451,0.8524156445264817,0.6058240121603012,nan,0.06957387593057421,0.0811306070163846,1000.0,0.0,nan,0,9,0,30623,0.1111111111111111,0.04,0.8430464367132453,0.843046436713245,1.1445332037078009,0.5006419533491134,0.23220382008791,0.2388919794042027,2.372971879111396,0.9141987508535385,0.843046436713245,1.1102230246251565e-16,0.51,0.9894216155337672,0.7832671490374473
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,15,0.8793723681465165,0.8553056450684865,0.5839550942182541,nan,0.06509745656512678,0.07473069421947003,1000.0,0.0,nan,0,115,0,31135,0.1875,0.56,0.8793723681465166,0.8793723681465165,0.9922702461481094,0.44757119432091713,0.2132146395387844,0.2140657854669438,1.8694592416286469,0.8195521265268326,0.8793723681465164,1.1102230246251565e-16,0.525,0.988757032728954,0.7786329942224712
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,16,0.9126284626054437,0.8578109784921011,0.5648917271693548,nan,0.06175524775277485,0.06969610460102559,1000.0,nan,nan,0,177,0,30825,0.0,0.885,0.9126284626054435,0.9126284626054436,1.0166241336952557,0.4026756580173969,0.21617150227498294,0.1933757625100327,1.935065041888844,0.7370159611105919,0.9126284626054437,0.0,0.54,0.9884022979940991,0.7765394622949008
