algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.772979720863375,0.8381276470422745,0.7246413693825404,nan,0.6259129831665441,3.7636535143852234,1000.0,0.0,nan,0,31819,0,215,209.22924724378083,217.70427337646484,0.9755786563220777,0.9331481233239174,0.3384201338416652,0.9627830404043197,0.9269347635944595,0.9653274975184045,0.9269347635944595,0.9653274975184045,209.22924724378083,217.70427337646484,0.938188785108055,2.700336858008578,2258.809602465792,1348.1813206793981,1.643048014268264,1.2016900564427486,0.9368293111182783,0.9619966210592495,95.0324207458496,625.1072931654593
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.870321375533497,0.843425311644872,0.68310609181722,nan,0.7154223206970427,4.031474146842957,1000.0,0.0,nan,0,31467,0,213,210.63365766737195,215.08596267700196,0.9576849473847283,0.9356921848654747,0.33200568623012966,3.9853812351822855,0.9337414038661572,0.9534432712603746,0.9337414038661572,0.9534432712603746,210.63365766737195,215.08596267700196,1.0066852314425732,2.7657484012183566,2498.643800685377,1257.2997161057951,1.7103104993528866,1.2110258467969526,0.9375081010367892,0.9518165115672743,93.61719674682617,592.8710632669917
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.9879019063614063,0.8476213137308757,0.6488637284437815,nan,0.7332103740085255,4.263407057523727,1000.0,0.0,nan,0,30495,0,205,210.63779241388494,213.47924270629883,0.9461077343333851,0.9326301962137222,0.3253969523039731,10.205587102621793,0.9347185885178688,0.9466720925128322,0.9347185885178688,0.9466720925128322,210.63779241388494,213.47924270629883,1.050073110317985,2.838361566760203,2696.789417945469,1146.3142936536926,1.765388492894872,1.2270408760517786,0.9333328166844156,0.9460489240581185,90.025728515625,517.8550846562774
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,3.079444246667312,0.8511409775416057,0.6203211836020152,nan,0.7046894799260532,4.44275422334671,1000.0,0.0,nan,0,30761,0,215,212.74942465389475,213.7636985015869,0.9254979666541604,0.9212815907597541,0.35252319539294524,12.304176291227341,0.9435153259958343,0.9472177064037561,0.9435153259958343,0.9472177064037561,212.74942465389475,213.7636985015869,1.1027332466270858,2.912436372942738,2934.123227278102,1034.4884497052988,1.8266144971533467,1.2407078148858215,0.9216119059219888,0.9469276581690341,92.73895983886719,513.555569609575
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,3.190247513731607,0.854493311047554,0.5957792296012243,nan,0.7735142078664567,4.575893025398255,1000.0,0.0,nan,0,30430,0,202,208.05652872721353,214.89484497070313,0.9414364364412096,0.9039589595794678,0.7221984962622324,9.396924132853746,0.9202709516729417,0.9528523048246652,0.9202709516729417,0.9528523048246652,208.05652872721353,214.89484497070313,1.1391479307252173,2.9820525647083773,3091.1406511077676,963.9043268815018,1.876309784318481,1.2565879022791766,0.9055728222194471,0.9514492800477966,89.7029555053711,441.2022624725406
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,3.346841706768048,0.8572939783334732,0.5749349598089853,nan,0.759546684101224,4.807458620071412,1000.0,0.0,nan,0,31040,0,210,209.61221027374268,211.91297737121582,0.9184992499649525,0.9085980719327926,0.3063147831708193,6.9348982425034045,0.930856322064848,0.9393783449731324,0.930856322064848,0.9393783449731324,209.61221027374268,211.91297737121582,1.1935853439872204,3.0663791123438626,3329.7072594075325,891.4147821455819,1.9427028513298774,1.2724579708079433,0.9093314925277675,0.9387470840169634,91.47278167724609,463.11654515927376
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,3.4774085496688274,0.8597213121255239,0.5568111862738927,nan,0.8274725702675906,4.999303592443466,1000.0,0.0,nan,0,30796,0,206,206.0574396306818,210.04439056396484,0.9292891892519864,0.9073597985506058,0.5134522102095864,11.294056347608567,0.9123995671578964,0.9310865612398913,0.9123995671578964,0.9310865612398913,206.0574396306818,210.04439056396484,1.2248052209640294,3.162638491779451,3462.8737238751146,832.9970824173556,1.9999385292901983,1.3002220657363663,0.9085030369284028,0.9301123577569437,88.55101989746093,409.3820548921948
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,3.514550355978195,0.8617529781659444,0.5411421710252762,nan,0.6197392791509628,5.137082624435425,1000.0,0.0,nan,0,30842,0,212,207.82581424713135,209.6626335144043,0.9087659232318401,0.8983356609940529,0.3166654296219349,9.575151925384999,0.9206357972403336,0.9294354425182285,0.9206357972403336,0.9294354425182285,207.82581424713135,209.6626335144043,1.2973623174339024,3.2578947599585475,3673.934385488288,772.073391901733,2.0815752944437604,1.3117962929746143,0.8991082730116667,0.9287836169420883,90.51547946166993,426.3952570963184
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,3.5535665320276344,0.8638153103987376,0.5273064017295838,nan,0.6772409453988075,5.331098132133484,1000.0,0.0,nan,0,30646,0,212,209.9446096420288,207.08615119934083,0.8850759994238615,0.9008524364233017,0.294202733784914,17.43389963299036,0.9312628056687323,0.9180852178008934,0.9312628056687323,0.9180852178008934,209.9446096420288,207.08615119934083,1.3630444753425504,3.35472755028043,3902.3319253550144,729.4062031340779,2.1597177053177026,1.3246502596575458,0.8996838114603802,0.9190613354207332,89.55268798828125,416.6371028649917
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,3.598663807718052,0.8654536461830139,0.5151903320352237,nan,0.7638563838872042,5.3584425210952755,1000.0,0.0,nan,0,30815,0,205,201.7155331698331,209.4166830444336,0.9189139171080156,0.8772441267967224,0.28464212200858374,9.81947562456131,0.8940140108265773,0.9284732245340058,0.8940140108265773,0.9284732245340058,201.7155331698331,209.4166830444336,1.4109978503334504,3.420826369351155,3964.5942798730753,688.2184513564778,2.214929257940532,1.331704170493054,0.8794164855333301,0.9266767726345665,88.20441494750976,362.50845469979873
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,3.643953138608696,0.8669543133179347,0.5042525943120321,nan,0.6322438617547353,5.507603988647461,1000.0,0.0,nan,0,30523,0,209,201.28324381510416,207.6310651397705,0.9088308374087016,0.8755957549810409,0.29880175590515134,16.533564345985653,0.8933737502238447,0.9205843342884519,0.8933737502238447,0.9205843342884519,201.28324381510416,207.6310651397705,1.4628068450574305,3.483059134290831,4112.536146553804,667.2219993723078,2.2709077607507906,1.336682744066533,0.8779144816620406,0.9186859214467352,89.09092337036132,390.2648841455372
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,3.6825184261504447,0.8683229782183965,0.4944772017002106,nan,0.757265585164229,5.617481756210327,1000.0,0.0,nan,0,30603,0,207,205.25349299112955,206.80058502197267,0.8772178838650385,0.8690830391645431,0.34940003355344135,8.07180698275566,0.9101094949960689,0.9167034719537045,0.9101094949960689,0.9167034719537045,205.25349299112955,206.80058502197267,1.4966924299988784,3.538370099111262,4336.819377859439,635.8393537621257,2.313363497643832,1.3452451630398654,0.8695435020721184,0.9163302279749704,87.64631784057617,358.4194065734768
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,3.7287424513896568,0.8695656452576319,0.48574856609106065,nan,0.7487782114430478,5.750893347263336,1000.0,0.0,nan,0,31163,0,215,207.62691859195107,205.02071327209472,0.8529590007505918,0.8674545881152153,0.272307099480378,8.78081586688757,0.920521963931315,0.9088889825836975,0.920521963931315,0.9088889825836975,207.62691859195107,205.02071327209472,1.5517396358598892,3.5897719457487596,4536.3207338727625,608.8134039156894,2.3669525598154375,1.3446375877050614,0.8661969800790151,0.9098982366732169,89.89810821533203,415.90554945344076
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,3.757278066482492,0.8706273112694423,0.47791428993145624,nan,0.7955658481671259,5.841459057331085,1000.0,0.0,nan,0,30467,0,207,196.91196852463943,204.2186823272705,0.899607988504263,0.8605415856838227,0.2608850919283353,19.98350760638714,0.8742984290595981,0.9053379988293689,0.8742984290595981,0.9053379988293689,196.91196852463943,204.2186823272705,1.6165045309507549,3.6348097447241434,4552.073988012903,590.1139408959972,2.42382661646011,1.336767926198508,0.8629259201282626,0.9034435649936553,86.80718411254882,354.3995000467344
