algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,30,1.8552614892151664,0.8753549786806106,0.4410621038675308,0.0,1.4200023990124464,0.0,1000.0,0.0,0.0,28.550998508930206,0.0,7609.001353237357,0.0,0.8204090241342783,0.0,1.0182958364915624,0.0,278.58986473083496,0.0,1.2344590474628083,0.0,278.58986473083496,0.0,1.2344590474628083,0.0,1.0182958364915624,0.5966555788047259,0.8204090241342783,1.2344590474628083,17.829751342773438,486.97608660719084
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,31,1.8763617987396206,0.8759159775972366,0.4372661064267159,0.0,1.6070274611314137,0.0,1000.0,0.0,0.0,21.92577452129788,0.0,7522.744832125911,0.0,0.8189859224690331,0.0,1.0318248093635798,0.0,275.47202555338544,0.0,1.2212055972402043,0.0,275.47202555338544,0.0,1.2212055972402043,0.0,1.0318248093635798,0.5988839055819098,0.8189859224690331,1.2212055972402043,9.916992919921874,270.8188139565328
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,32,1.9028991767294043,0.8764183770418167,0.4337183657884598,0.0,1.472641073167324,0.0,1000.0,0.0,0.0,23.466680765151978,0.0,7469.378796242871,0.0,0.8580771088600159,0.0,1.0663169404686206,0.0,263.1383762359619,0.0,1.1666993528567582,0.0,263.1383762359619,0.0,1.1666993528567582,0.0,1.0663169404686206,0.5994548538586273,0.8580771088600159,1.1666993528567582,12.630642059326172,358.53018221965783
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,33,1.9357654709662342,0.8767873769998551,0.4306599970459938,0.0,1.5401970028877259,0.0,1000.0,0.0,0.0,25.55002223968506,0.0,7539.875858022254,0.0,0.8275020599365235,0.0,1.0941801365280108,0.0,266.9043951416016,0.0,1.183648446953268,0.0,266.9043951416016,0.0,1.183648446953268,0.0,1.0941801365280108,0.6003242459672333,0.8275020599365235,1.183648446953268,13.345219757080079,376.99379290111267
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,34,1.975674232474628,0.877067177772522,0.4281972094774246,0.0,1.5365182647579594,0.0,1000.0,0.0,0.0,40.032521147477,0.0,7843.045165266282,0.0,0.789646789431572,0.0,1.1311296371896484,0.0,272.3148402163857,0.0,1.2072889814143315,0.0,272.3148402163857,0.0,1.2072889814143315,0.0,1.1311296371896484,0.6029866187194963,0.789646789431572,1.2072889814143315,20.695927856445312,596.0714325602374
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,35,2.0230384468452467,0.8775069783926011,0.4251975221037865,0.0,1.6275552300845875,0.0,1000.0,0.0,0.0,17.021475062650794,0.0,7672.464690972272,0.0,0.8142869682872996,0.0,1.1503566054025018,0.0,263.6962127685547,0.0,1.1686034650501487,0.0,263.6962127685547,0.0,1.1686034650501487,0.0,1.1503566054025018,0.6038341755100113,0.8142869682872996,1.1686034650501487,8.965671234130859,260.86379949305723
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,36,2.077902649700887,0.8779229768514634,0.4224197583794594,0.0,1.3347786435714135,0.0,1000.0,0.0,0.0,23.558495154747597,0.0,7980.45882749385,0.0,0.8046573560971481,0.0,1.1843100932931643,0.0,262.6299532376803,0.0,1.16404147916002,0.0,262.6299532376803,0.0,1.16404147916002,0.0,1.1843100932931643,0.6026845608834746,0.8046573560971481,1.16404147916002,13.656757568359374,414.9838590296802
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,37,2.139958997731573,0.8784029778242112,0.4199475753903389,0.0,1.4273555606603623,0.0,1000.0,0.0,0.0,18.31213111281395,0.0,7886.144304336469,0.0,0.8108852595090866,0.0,1.2130862168864172,0.0,258.1816215515137,0.0,1.1441639811314595,0.0,258.1816215515137,0.0,1.1441639811314595,0.0,1.2130862168864172,0.6015547437455552,0.8108852595090866,1.1441639811314595,10.327264862060547,315.4457721734588
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,38,2.208639226078354,0.8785011789798737,0.41828329002857206,0.0,1.6252633027128272,0.0,1000.0,0.0,0.0,42.06656182778848,0.0,8384.661365121137,0.0,0.7404031745485358,0.0,1.2368073773048005,0.0,270.47499826792125,0.0,1.1975248457048155,0.0,270.47499826792125,0.0,1.1975248457048155,0.0,1.2368073773048005,0.6063555509924369,0.7404031745485358,1.1975248457048155,20.01514987182617,620.4649410189642
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,39,2.283242686830038,0.8789531786441803,0.4157856532931328,0.0,1.3116073504738186,0.0,1000.0,0.0,0.0,16.528791966645613,0.0,8262.950120648677,0.0,0.7612197969270789,0.0,1.258957739133136,0.0,262.69462718134344,0.0,1.1636857008174593,0.0,262.69462718134344,0.0,1.1636857008174593,0.0,1.258957739133136,0.60764076104633,0.7612197969270789,1.1636857008174593,12.083952850341797,380.0957055498392
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,40,2.3630554093683274,0.8791615798473358,0.41406943506002425,0.0,1.5976703445116678,0.0,1000.0,0.0,0.0,32.3620351155599,0.0,8322.389052116127,0.0,0.7682868381341298,0.0,1.2877537615436256,0.0,257.9770696004232,0.0,1.1432454720474439,0.0,257.9770696004232,0.0,1.1432454720474439,0.0,1.2877537615436256,0.6100431265653246,0.7682868381341298,1.1432454720474439,15.47862417602539,499.3433431269676
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,41,2.3907381324560433,0.8791061786413192,0.41302789747714996,0.0,1.7805373394811475,0.0,1000.0,0.0,0.0,55.0503119391364,0.0,8011.115781606131,0.0,0.8042553486050786,0.0,1.3292802451383823,0.0,247.60922158730997,0.0,1.0966216631914556,0.0,247.60922158730997,0.0,1.0966216631914556,0.0,1.3292802451383823,0.6166175815958638,0.8042553486050786,1.0966216631914556,18.323082397460936,592.8225678388537
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,42,2.418781558517176,0.8795843781232834,0.4107635684609413,0.0,1.2662949562072754,0.0,1000.0,0.0,0.0,14.234367329141367,0.0,8112.187242158356,0.0,0.7949262002240056,0.0,1.3607551946503913,0.0,246.19594806173572,0.0,1.0919945842176717,0.0,246.19594806173572,0.0,1.0919945842176717,0.0,1.3607551946503913,0.6153275093167647,0.7949262002240056,1.0919945842176717,11.325013610839843,373.1606131392844
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,43,2.4526512588048472,0.879652378320694,0.4095342773795128,0.0,1.6132579733585488,0.0,1000.0,0.0,0.0,31.95447277200633,0.0,7747.598673307349,0.0,0.8094990212341835,0.0,1.3923071602184938,0.0,240.64550991716055,0.0,1.0659211098111896,0.0,240.64550991716055,0.0,1.0659211098111896,0.0,1.3923071602184938,0.6154741884704898,0.8094990212341835,1.0659211098111896,13.957439575195313,449.36072305182626
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,44,2.4929931995985752,0.8796771785020828,0.4087446666955948,0.0,1.6649190015865094,0.0,1000.0,0.0,0.0,43.84921328226725,0.0,7974.461304089409,0.0,0.8215646554123271,0.0,1.4385025526755235,0.0,235.10660807291666,0.0,1.042532331390861,0.0,235.10660807291666,0.0,1.042532331390861,0.0,1.4385025526755235,0.6133647426221067,0.8215646554123271,1.042532331390861,15.5170361328125,526.3144460699009
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,45,2.5028702420513085,0.8798373777866364,0.4075431956648827,0.0,1.8789591436032895,0.0,1000.0,0.0,0.0,44.21180590876826,0.0,8114.1555430506805,0.0,0.7539614306555854,0.0,1.4559896613159895,0.0,245.75587237322773,0.0,1.0891901980140657,0.0,245.75587237322773,0.0,1.0891901980140657,0.0,1.4559896613159895,0.6186444347271765,0.7539614306555854,1.0891901980140657,13.270817108154297,438.16439932473673
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,46,2.594701656565933,0.8801815773248672,0.40582589000463487,0.0,1.807165138031307,0.0,1000.0,0.0,0.0,24.944836566322728,0.0,8137.109894380558,0.0,0.779350575647856,0.0,1.4770119946472464,0.0,237.84536100688734,0.0,1.054269531872325,0.0,237.84536100688734,0.0,1.054269531872325,0.0,1.4770119946472464,0.620966010859337,0.779350575647856,1.054269531872325,9.03812371826172,309.21017598646125
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,47,2.656244240566243,0.8799363777637482,0.40572411942481995,0.0,1.9164928821000187,0.0,1000.0,0.0,0.0,50.18518667510062,0.0,7825.710911326432,0.0,0.7880578330068877,0.0,1.5175548245231967,0.0,233.42287606904,0.0,1.034263188069595,0.0,233.42287606904,0.0,1.034263188069595,0.0,1.5175548245231967,0.6211494341720826,0.7880578330068877,1.034263188069595,15.40590982055664,516.4969201475445
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,48,2.656244240566243,0.8802225786447525,0.40435160541534426,0.0,1.9664822906255721,0.0,1000.0,0.0,0.0,29.844074058532716,0.0,8379.659102406513,0.0,0.7560419142246246,0.0,1.5324475213634325,0.0,236.7721389770508,0.0,1.048922460090192,0.0,236.7721389770508,0.0,1.048922460090192,0.0,1.5324475213634325,0.6263840952851712,0.7560419142246246,1.048922460090192,9.470885559082031,335.18636409626055
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,49,2.7993669760003552,0.8801571760177612,0.40385463172197344,0.0,2.181114313277331,0.0,1000.0,0.0,0.0,43.44081349806352,0.0,7695.188491707895,0.0,0.8191244900226593,0.0,1.550385816185726,0.0,221.9250398115678,0.0,0.9838530122123721,0.0,221.9250398115678,0.0,0.9838530122123721,0.0,1.550385816185726,0.6336599905047603,0.8191244900226593,0.9838530122123721,9.764701751708984,338.5882936351474
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,50,2.879944798153641,0.8802493774890899,0.40311892867088317,0.0,1.8695643281936645,0.0,1000.0,0.0,0.0,35.5429288482666,0.0,7838.715547455088,0.0,0.8033248054981231,0.0,1.585989456336533,0.0,222.21516967773437,0.0,0.9851239070515685,0.0,222.21516967773437,0.0,0.9851239070515685,0.0,1.585989456336533,0.6375902518095236,0.8033248054981231,0.9851239070515685,11.110758483886718,391.9357773727544
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,51,2.965783266035847,0.8801509773731232,0.40288262248039247,0.0,1.9893142039125615,0.0,1000.0,0.0,0.0,31.5646127354015,0.0,8021.813500303103,0.0,0.7725025388327512,0.0,1.6169155056631463,0.0,224.92423456365412,0.0,0.9984438325831942,0.0,224.92423456365412,0.0,0.9984438325831942,0.0,1.6169155056631463,0.6398335108405012,0.7725025388327512,0.9984438325831942,9.896666320800781,352.95979401333653
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,52,3.056351579648125,0.8802561781406403,0.40213445699214934,0.0,1.971802409206118,0.0,1000.0,0.0,0.0,37.776399703252885,0.0,7556.109001613397,0.0,0.8238257481938317,0.0,1.6486507265176678,0.0,213.3462408156622,0.0,0.9452858787068118,0.0,213.3462408156622,0.0,0.9452858787068118,0.0,1.6486507265176678,0.6454369541407433,0.8238257481938317,0.9452858787068118,8.960542114257812,317.3565780677627
