algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,43,0.0,0.8831183793544769,0.40045379984378815,nan,0.02905838792026043,0.0,,nan,nan,0,0,0,324
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,44,0.0,0.883366578578949,0.3988619545698166,nan,0.02867973669618368,0.0,,nan,nan,0,0,0,438
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,45,0.0,0.8836577773094177,0.39725600337982175,nan,0.02822899065166712,0.0,,0.0,nan,0,4,0,284
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,46,0.0,0.8839255779981613,0.3956686162352562,nan,0.027869101472198964,0.0,,0.0,nan,0,3,0,119
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,47,0.0,0.8841707782745362,0.39429569005966186,nan,0.02747901787981391,0.0,,nan,nan,0,0,0,442
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,48,0.0,0.8843847770690918,0.3929752588868141,nan,0.027154777079820634,0.0,,nan,nan,0,0,0,148
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,49,0.0,0.8845851777791977,0.39166061908006666,nan,0.026848452530801297,0.0,,0.0,nan,0,6,0,180
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,50,0.0,0.8848139781951905,0.39051772063970563,nan,0.026415292248129843,0.0,,0.0,nan,0,1,0,231
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,51,0.0,0.8849495792388916,0.38945034450292587,nan,0.026076345786452293,0.0,,0.0,nan,0,6,0,166
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,52,0.0,0.8851115781068802,0.3884314423203468,nan,0.025904314901679753,0.0,,0.0,nan,0,3,0,161
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,53,0.0,0.885270978808403,0.3875160493850708,nan,0.025640450090169905,0.0,,0.0,nan,0,2,0,194
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,54,0.0,0.8854163768291473,0.38651860547065736,nan,0.02524073442444205,0.0,,nan,nan,0,0,0,378
trimmed-mean,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,55,0.0,0.8855973780155182,0.3856764985918999,nan,0.02499404613673687,0.0,,0.0,nan,0,5,0,107
