algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,16,2.579071073848239,0.8608597287535668,0.5489034633338451,nan,1.0568748399615289,0.07602608378976583,1000.0,0.0,nan,0,11693,0,117,0.9308800283607319,0.0,0.9308800283607319,0.0,210.096142578125,0.0,210.096142578125,0.0,3757.754056668439,0.0,1.2840116531460524,0.0,0.9076021671295166,0.0,0.12975014158291742,0.018856905782595277,1.2840116531460524,1.1312958791907897,0.9076021671295166,0.9308800283607319,10.50480712890625,187.88770283342194
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,17,2.626898729085254,0.8628894774615765,0.5338111034035683,nan,0.7692940764957004,0.07427575796842575,1000.0,0.0,nan,0,10688,0,114,0.9228365772388997,0.0,0.9228365772388997,0.0,208.315188937717,0.0,208.315188937717,0.0,3778.822541968528,0.0,1.3450503234749636,0.0,0.9061573280228509,0.0,0.2740820362750027,0.004990023258142173,1.3450503234749636,1.1329842986093348,0.9061573280228509,0.9228365772388997,9.374183502197265,170.04701438858376
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,18,2.681773133119602,0.8648467287421227,0.5205065509676934,nan,0.9182708632378351,0.07161183252930642,1000.0,0.0,nan,0,11038,0,118,0.9427469637692315,0.0,0.9427469637692315,0.0,212.51549057733445,0.0,212.51549057733445,0.0,4081.680158402158,0.0,1.3959939008495725,0.0,0.8713269659451076,0.0,0.1935684222594968,0.008337730416096747,1.3959939008495725,1.1350406292622033,0.8713269659451076,0.9427469637692315,11.157063255310058,214.2882083161133
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,19,2.7414324404760406,0.8664587296545505,0.50873077750206,nan,0.9051596572001775,0.07077531542629004,1000.0,0.0,nan,0,11155,0,115,0.9144870743941096,0.0,0.9144870743941096,0.0,206.46300252278647,0.0,206.46300252278647,0.0,4141.06405178675,0.0,1.4467765622873352,0.0,0.8941568732261658,0.0,0.12239938431108992,0.011322548054158688,1.4467765622873352,1.1353641384085593,0.8941568732261658,0.9144870743941096,9.290835113525391,186.34788233040373
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,20,2.9799135515809363,0.8678894779086113,0.4980931083112955,nan,0.7764430249279196,0.07042353823781014,1000.0,0.0,nan,0,11147,0,119,0.9029667980269921,0.0,0.9029667980269921,0.0,203.47331862016156,0.0,203.47331862016156,0.0,4242.53155916226,0.0,1.507814582843552,0.0,0.8971138623627749,0.0,0.1853897508593615,0.010005144122987985,1.507814582843552,1.1358742683433871,0.8971138623627749,0.9029667980269921,11.191032524108886,233.33923575392436
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,21,2.9799135515809363,0.8693887281417847,0.4885871846973896,nan,0.8778725624084472,0.06887048579752446,1000.0,0.0,nan,0,10623,0,111,0.9090617795086243,0.0,0.9090617795086243,0.0,204.9648895263672,0.0,204.9648895263672,0.0,4385.9231614803875,0.0,1.5413366094909113,0.0,0.8785104274749755,0.0,0.2364723813875268,0.003726493353024125,1.5413366094909113,1.1372669251478682,0.8785104274749755,0.9090617795086243,7.68618335723877,164.47211855551453
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,22,2.9799135515809363,0.8705484800040721,0.4802988504618406,nan,0.9912306627501613,0.06779722414910794,1000.0,0.0,nan,0,11226,0,120,0.9146868648133255,0.0,0.9146868648133255,0.0,206.41858374554178,0.0,206.41858374554178,0.0,4581.876776006213,0.0,1.5915848907840735,0.0,0.8602299819821897,0.0,0.21463112861080014,0.01109430485405028,1.5915848907840735,1.1383429041991808,0.8602299819821897,0.9146868648133255,11.869068565368652,263.4579146203572
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,23,3.0621573895700696,0.8716534788906575,0.47259272292256355,nan,0.9309756540589862,0.06683405701071024,1000.0,0.0,nan,0,10830,0,114,0.8905365210666307,0.0,0.8905365210666307,0.0,200.58035278320312,0.0,200.58035278320312,0.0,4627.191993948426,0.0,1.64912962410658,0.0,0.8791707257429758,0.0,0.22209114285134193,0.006341785830445587,1.64912962410658,1.136643671052779,0.8791707257429758,0.8905365210666307,9.026115875244141,208.22363972767923
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,24,3.100161823503406,0.8725874787569046,0.46589993700385096,nan,0.9305543648569208,0.06632401287555695,1000.0,0.0,nan,0,10916,0,116,0.8942850422582381,0.0,0.8942850422582381,0.0,201.6978944477282,0.0,201.6978944477282,0.0,4881.732149061141,0.0,1.700299674004822,0.0,0.8631408998840734,0.0,0.20756460617198363,0.007330190148204565,1.700299674004822,1.1351836502127703,0.8631408998840734,0.8942850422582381,9.58064998626709,231.88227708040415
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,25,3.201766695924152,0.8735789795219898,0.459406126216054,nan,0.7397513857909611,0.06529503274708987,1000.0,0.0,nan,0,10684,0,110,0.8381793954542783,0.0,0.8381793954542783,0.0,189.06244659423828,0.0,189.06244659423828,0.0,4665.568045204933,0.0,1.7604927802862298,0.0,0.9237563524927411,0.0,0.16581786270918591,0.005266978866420686,1.7604927802862298,1.1322382093938663,0.9237563524927411,0.8381793954542783,6.61718563079834,163.29488158217268
