algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,S_agg_norm_honest,S_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,0,0.2635107699722956,0.4498612379655242,1.9795981550216675,nan,0.23502892007430395,0.23513522297143935,1000.0,nan,nan,0,0,0,10662,0.26351076997229567,0.26351076997229567,3.8468959828217826,1.5467345917224884,0.0,0.0,9.617239832878113,3.86683641910553,0.8668608720437221,0.8668417244656028,0.26351076997229567,5.551115123125783e-17,0.3,0.9996825498790645,0.9900623492448191
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,1,0.30216558923805237,0.5646889846399427,1.7193300938606262,nan,0.2072062649224934,0.22997040122747422,1000.0,nan,nan,0,0,0,10964,0.3021655892380524,0.30216558923805237,3.366507787453501,1.7862432885169983,0.0,0.0,8.117029026934976,3.800090186595917,0.7158584365718133,0.8297847433542106,0.3021655892380525,1.1102230246251565e-16,0.315,0.9990604305342677,0.9752786671075905
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,2,0.34410266237445,0.615521234050393,1.4986007407307624,nan,0.18923650309443474,0.2186744149029255,1000.0,nan,nan,0,0,0,11058,0.3441026623744499,0.3441026623744501,2.9432422518730164,1.8770917308330537,0.0,0.0,7.160362386703492,3.843447120189667,0.6117313888876786,0.7837817216947467,0.3441026623744499,5.551115123125783e-17,0.33,0.9984085708677902,0.958004600180978
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,3,0.38986963149288734,0.6462727351486683,1.325402010679245,nan,0.16775756080945334,0.2004847440123558,1000.0,nan,nan,0,0,0,11600,0.38986963149288734,0.3898696314928873,2.241064332149647,1.8732399177551269,0.0,0.0,5.451390619631167,3.7314966821670534,0.5179333530496191,0.7308166768676052,0.38986963149288734,0.0,0.345,0.9971798085352235,0.9324172469429701
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,4,0.44226468151870224,0.6695859828591346,1.1929540064930917,nan,0.14425633433792326,0.1806327959895134,1000.0,nan,nan,0,0,0,10916,0.4422646815187023,0.44226468151870224,2.210363248984019,1.7700117242336273,0.0,0.0,5.48914897441864,3.385129299163818,0.43044980786702614,0.6781281924725614,0.44226468151870235,1.1102230246251565e-16,0.36,0.9966701306746722,0.915983826136209
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,5,0.5315777515144099,0.6871134829521179,1.0961210322380066,nan,0.1272343293660217,0.1575390711426735,1000.0,nan,nan,0,0,0,11580,0.53157775151441,0.5315777515144101,1.8989867137538061,1.5820569241046905,0.0,0.0,4.4579258759816485,2.925633234977722,0.38258042213187243,0.5977973044612664,0.53157775151441,1.1102230246251565e-16,0.375,0.9960762171276724,0.8902074361849052
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,6,0.558999622203959,0.699374483525753,1.0236864997446538,nan,0.11118299100134107,0.1337274406850338,1000.0,nan,nan,0,0,0,10848,0.5589996222039592,0.558999622203959,1.8968641261259716,1.384909062385559,0.0,0.0,4.243575056393941,2.511799874305725,0.34603719699856106,0.5129086256699729,0.5589996222039593,2.220446049250313e-16,0.39,0.9955199440487982,0.8785297925518695
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,7,0.5880046216568433,0.7078044810891151,0.9687140364944935,nan,0.09789267283948985,0.11400551266968251,1000.0,nan,nan,0,0,0,11050,0.5880046216568432,0.5880046216568432,1.40922610597177,1.1888408946990967,0.0,0.0,3.25463820587505,2.110599277019501,0.2936135032602838,0.43251559048041704,0.5880046216568433,0.0,0.405,0.9946440226235094,0.8680638867607173
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,8,0.6186656634250423,0.7143314817547798,0.9252697803080082,nan,0.08858712762594223,0.09968278221786023,1000.0,nan,nan,0,0,0,11710,0.6186656634250421,0.618665663425042,1.413162182878565,1.024083309173584,0.0,0.0,2.7442817290623984,1.8370378017425537,0.2791413701151824,0.3640335419440909,0.6186656634250423,0.0,0.42,0.9934162218595051,0.8464896075593193
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,9,0.6510644430024428,0.7204762323200703,0.8892985722422599,nan,0.08139995951205492,0.08965162351727486,1000.0,nan,nan,0,0,0,11736,0.6510644430024426,0.6510644430024426,1.2409513369202614,0.8784906941652298,0.0,0.0,2.519088243444761,1.5704613053798675,0.26364784466475694,0.3077932707859723,0.6510644430024427,1.1102230246251565e-16,0.435,0.9925616214994515,0.8279055052387647
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.7253947322070599,0.8592881874740124,nan,0.07466637001683314,0.08316880039870739,1000.0,0.0,nan,0,1,0,11541,0.6852937746268957,0.6852937746268958,1.217691866060098,0.7634578949213028,0.041666666666666664,0.0,2.450258736809095,1.372636171579361,0.23947594916008388,0.2639385423695762,0.6852937746268957,0.0,0.44999999999999996,0.9916685921851534,0.8092171557405914
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.7300594814121724,0.8336892102658748,nan,0.07039664996167024,0.07696828208863735,1000.0,nan,nan,0,0,0,11890,0.7214611380882578,0.7214611380882578,1.1447692848742008,0.6626199841499328,0.0,0.0,2.1674403051535287,1.1863884508609772,0.23226709287702918,0.23098050530721143,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.9908203822169395,0.7931369478112412
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.733745730817318,0.8120529513061047,nan,0.06569978270841681,0.07164675332605838,1000.0,nan,nan,0,20,0,12058,0.7596944884031196,0.7596944884031193,1.0023709043212559,0.5866146904230117,0.0,0.2,1.8945497922275378,1.067984830737114,0.21657949615677302,0.20639649010546648,0.7596944884031196,0.0,0.48,0.989905888779726,0.7747116393078012
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.737835731357336,0.7928087317943573,nan,0.06284649204462767,0.0667631646990776,1000.0,0.0,nan,0,3,0,10549,0.8001526997791858,0.8001526997791859,1.195921817421913,0.49822541922330854,0.15,0.0,2.066484886407852,0.8752235925197601,0.19891269618502916,0.18740890403843838,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.9890160105997103,0.7726829309554029
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,14,0.8430464367132451,0.7412019808590412,0.7759713281691074,nan,0.05985602537790934,0.06329784769564867,1000.0,nan,nan,0,32,0,10866,0.843046436713245,0.8430464367132453,0.9855289876461029,0.4622944551706314,0.0,0.32,1.8739778757095338,0.8780838918685913,0.19296967251308364,0.17215404461541683,0.843046436713245,1.1102230246251565e-16,0.51,0.9886615382323779,0.7643226235371847
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,15,0.8793723681465165,0.7442154811322689,0.7614893068373203,nan,0.05776509394248327,0.06016220271587372,1000.0,0.0,nan,0,63,0,10905,0.8793723681465165,0.8793723681465166,1.0917917035874867,0.41496232092380525,0.09523809523809523,0.61,1.9348507637069339,0.7631855553388596,0.187061359177838,0.15925075386973245,0.8793723681465164,1.1102230246251565e-16,0.525,0.987928729124668,0.7606746923125841
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,16,0.9126284626054437,0.746982230246067,0.7484128075838089,nan,0.05532648228108883,0.05761874869465828,1000.0,0.0,nan,0,381,0,11429,0.9126284626054436,0.9126284626054435,0.9524300634860993,0.3828696635365486,0.3,3.75,1.5878264904022217,0.7222805547714234,0.20467599768980088,0.14855626752066478,0.9126284626054437,0.0,0.54,0.987339950143961,0.7567280843683012
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,17,0.9474622637610021,0.7498992301523686,0.736499124020338,nan,0.05236982781853941,0.05527171179652214,1000.0,nan,nan,0,66,0,10736,0.947462263761002,0.9474622637610018,0.9807098176744249,0.35780326783657074,0.0,0.66,1.7463569972250197,0.6795713502168655,0.1661934124916221,0.1394690268551938,0.9474622637610021,0.0,0.555,0.9867670185152481,0.7539038824376343
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,18,0.9839586158871577,0.752316230237484,0.7261683012545109,nan,0.051644750826415564,0.0537306010723114,1000.0,nan,nan,0,106,0,11050,0.9839586158871577,0.9839586158871579,1.1458073655764263,0.3394201573729515,0.0,1.06,1.66671583766029,0.6500373256206512,0.1902185224725475,0.13178976219725108,0.9839586158871577,0.0,0.57,0.9859625989860251,0.7490399222792523
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,19,1.022216540748102,0.7546309803426265,0.7162971416115761,nan,0.049507607188489705,0.051721920035779474,1000.0,0.0,nan,0,209,0,11061,1.0222165407481023,1.0222165407481025,0.6960842973656125,0.32178706854581834,0.05555555555555555,2.08,1.3215801748964522,0.6161979472637177,0.14592036279681322,0.12491404594165788,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9854138011633765,0.7457376603070122
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,20,1.0623545611125644,0.7565939809381962,0.7077412316203118,nan,0.04700322008945725,0.049944548159837725,1000.0,nan,nan,0,114,0,11152,1.0623545611125642,1.0623545611125644,0.7515783506360921,0.3121995165944099,0.0,1.14,1.3022957173260776,0.6121249413490295,0.14085045023650397,0.11874077187296286,1.0623545611125642,2.220446049250313e-16,0.6,0.984611546990492,0.737215513925214
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,21,1.1045192595593831,0.7585572317242623,0.699945659339428,nan,0.04625383714834849,0.04814183305948973,1000.0,nan,nan,0,4,0,10730,1.1045192595593836,1.1045192595593833,1.0105678379535674,0.2835889780521393,0.0,0.04,1.6658820708592732,0.5280402100086212,0.14968207160835367,0.11314818980659264,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.984241966465083,0.734888951616259
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,22,1.148899646893674,0.7604474814236164,0.6922122386097908,nan,0.04581300703727681,0.04732015255838633,1000.0,nan,nan,0,346,0,11000,1.1488996468936743,1.148899646893674,0.7797491563403088,0.26765850752592085,0.0,3.46,1.269733473010685,0.510956774353981,0.1486198066658117,0.10819398424312368,1.1488996468936743,2.220446049250313e-16,0.63,0.9833886660961039,0.7334892681122713
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,23,1.1932226547715872,0.7622752314805985,0.6857438641786575,nan,0.0453179617308908,0.04615960814058781,1000.0,0.0,nan,0,155,0,10789,1.1932226547715867,1.193222654771587,0.9253186161319414,0.252705437541008,0.1111111111111111,1.53,1.4902554055054982,0.4835371264815331,0.15251407328367528,0.10366311027957865,1.193222654771587,2.220446049250313e-16,0.6450000000000001,0.9829146489695125,0.7322107734758543
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,24,1.2237170788729461,0.7639144796133042,0.6794162519276142,nan,0.04311882371180936,0.04493941411375999,1000.0,0.0,nan,0,302,0,10730,1.2237170788729461,1.2237170788729463,0.8594146817922592,0.24274291977286339,0.10526315789473684,3.0,1.2655317532388788,0.4678156232833862,0.14527637923861966,0.09959166256404524,1.2237170788729463,2.220446049250313e-16,0.66,0.9823401163911147,0.731053787338865
