algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,67,0.0,0.8867917777299881,0.37854527235031127,nan,0.02203841473162174,0.0,,0.0,nan,0,309,0,27,0.005638973851656091,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,68,0.0,0.8869023776054382,0.3781237027049065,nan,0.02194845225289464,0.0,,0.0,nan,0,411,0,33,0.006598642068531583,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,69,0.0,0.8869505785703659,0.37780432468652725,nan,0.021708165094256403,0.0,,0.0,nan,0,96,0,16,0.0025036787295615987,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,70,0.0,0.8870209778547287,0.37748221987485886,nan,0.021519118327647448,0.0,,0.0,nan,0,75,0,13,0.002710559327776233,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,71,0.0,0.8870687774419784,0.3772571579813957,nan,0.02128952882811427,0.0,,0.0,nan,0,159,0,19,0.0036744004729288545,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,72,0.0,0.8871579784154892,0.37693035167455674,nan,0.02110441067814827,0.0,,0.0,nan,0,199,0,23,0.004120450671762228,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,73,0.0,0.8871915769577027,0.37666529911756513,nan,0.020867383189499378,0.0,,0.0,nan,0,368,0,28,0.00556014766334556,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,74,0.0,0.8872485769987106,0.3763767006993294,nan,0.020683418806642293,0.0,,0.0,nan,0,220,0,22,0.0040674369762806846,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,75,0.0,0.8872819772958755,0.3762417285442352,nan,0.020467010091990232,0.0,,0.0,nan,0,234,0,24,0.004040878078040595,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,76,0.0,0.8873431770801544,0.37603428041934966,nan,0.020249983835965393,0.0,,0.0,nan,0,147,0,17,0.0031568813636632903,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,77,0.0,0.8873767775297164,0.37590177381038664,nan,0.02004499103873968,0.0,,0.0,nan,0,215,0,21,0.004159704190290843,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,78,0.0,0.887442777633667,0.375720949113369,nan,0.01991176474839449,0.0,,0.0,nan,0,115,0,17,0.0029583941275057824,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,79,0.0,0.8874325782060624,0.37558378380537033,nan,0.019702794544398786,0.0,,0.0,nan,0,179,0,19,0.00338638800365681,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,80,0.0,0.8874923783540726,0.37546271073818205,nan,0.019583504717797042,0.0,,0.0,nan,0,289,0,25,0.004491425248228812,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,81,0.0,0.8874883760213852,0.37535044908523557,nan,0.019421715598553418,0.0,,0.0,nan,0,208,0,22,0.003556845644488931,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,82,0.0,0.8875313770771026,0.375305424451828,nan,0.01913308053649962,0.0,,0.0,nan,0,30,0,10,0.0011378475729460743,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,83,0.0,0.8875779776573182,0.3751984719634056,nan,0.01907278659567237,0.0,,0.0,nan,0,138,0,16,0.002918266667984426,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,84,0.0,0.8876259779930115,0.3751370317339897,nan,0.018873157251626253,0.0,,0.0,nan,0,404,0,30,0.005115674124681391,0.0
krum,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,85,0.0,0.8876345784664154,0.3750624563097954,nan,0.018672150783240794,0.0,,0.0,nan,0,167,0,19,0.0030612684151327067,0.0
