algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,S_agg_norm_honest,S_agg_norm_attacker,V_agg_norm_honest,V_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,78,3.4512053828263247,0.7943209795653821,0.5841344183683396,0.9978341146552895,0.03070297172026975,8496006598.4,1000.0,0.9956935852113713,1.0,10457,560,0,63,40.0,104.57,3.4512053828263243,0.0,1.1525175443717413,5947204550.4,0.5512489548751286,3098620309.76,0.051867919159416305,0.0,3.4512053828263243,4.440892098500626e-16,1.47,0.9418572554452472,0.34070144153248816
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,79,3.499803714624289,0.7945172297954559,0.5836697828769684,0.9918900653300292,0.028394877420444237,21321173032.96,1000.0,0.9843928980526918,1.0,10137,239,0,174,12.578947368421053,101.37,3.49980371462429,0.0,0.8726130974920172,14924820846.08,0.4920240985719781,7768751691.52,0.05635883242766312,0.0,3.49980371462429,8.881784197001252e-16,1.485,0.9411908697349776,0.33184121745718365
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,80,3.549629201256186,0.7945152309536934,0.5840088456869126,0.9973301959364677,0.029383169811057007,53149849559.04,1000.0,0.9284493284493285,1.0,10726,830,0,206,36.08695652173913,107.26,3.5496292012561854,0.0,0.7863910042721293,37204893839.36,0.42927209190700366,19392113331.2,0.050907643344247556,0.0,3.5496292012561854,4.440892098500626e-16,1.5,0.940444197323286,0.3165975033234746
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,81,3.600727022539671,0.7947104805707932,0.5839062383770943,0.9810136765888978,0.028935738888226058,133651661045.76,1000.0,0.9681020733652311,1.0,10387,489,0,144,25.736842105263158,103.87,3.600727022539672,0.0,0.9278670925843088,93556161003.52,0.5367566801999745,48685655388.16,0.05598405055856093,0.0,3.600727022539672,8.881784197001252e-16,1.515,0.93988221215299,0.30944610880671947
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,82,3.653145283543021,0.7950054803490638,0.5830429415404796,1.0,0.030205630386869114,333928435220.48,1000.0,1.0,1.0,9939,39,0,16,6.5,99.39,3.6531452835430205,0.0,1.3595441182454426,233749901066.24,0.6577173968156179,121778494136.32,0.04893418827097914,0.0,3.6531452835430205,4.440892098500626e-16,1.53,0.9398149344291409,0.30771859394341233
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,83,3.706935258484402,0.7948834802210331,0.584133148342371,1.0,0.028623573068115447,839102507581.44,1000.0,0.8888888888888888,1.0,10310,411,0,137,22.833333333333332,103.1,3.706935258484401,0.0,0.8421795898013644,587371741511.68,0.4853387541241116,305668390338.56,0.05215840987768231,0.0,3.706935258484401,8.881784197001252e-16,1.5450000000000002,0.9393328569359314,0.29940240057877643
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,84,3.7621516572892535,0.7949427300691605,0.5841875240206719,0.998410174880763,0.027619574517011643,2094784711229.44,1000.0,0.89196675900277,1.0,10715,818,0,287,32.72,107.15,3.762151657289252,0.0,0.6871051549911499,1466349259325.44,0.4176981592178345,763984632053.76,0.04974336816731604,0.0,3.762151657289252,1.3322676295501878e-15,1.56,0.9382209838074924,0.27991579600649
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,85,3.818852916980401,0.7950924809277058,0.5838933795690536,1.0,0.025431437650695443,5261825478492.16,1000.0,0.625,1.0,10249,352,0,117,22.0,102.49,3.818852916980402,0.0,0.7937318834010512,3683277759447.04,0.5960385128855705,1916769076838.4,0.05695247737357388,0.0,3.818852916980402,8.881784197001252e-16,1.575,0.9377678984230674,0.27528704132921433
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,86,3.874737541093223,0.7953662303090095,0.5828455904126167,1.0,0.02891532155243974,13144341078343.68,1000.0,1.0,1.0,10408,508,0,156,26.736842105263158,104.08,3.8747375410932245,0.0,0.794151412813287,9201038524416.0,0.46199330060105576,4792598465740.8,0.04869814920915475,0.0,3.8747375410932245,1.3322676295501878e-15,1.5899999999999999,0.9371989967851839,0.2658512325024182
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,87,3.916240373005058,0.7956542299687862,0.5829616656899452,0.9991935483870968,0.02805811140154089,32999541000110.08,1000.0,0.7987179487179488,1.0,10275,378,0,67,27.0,102.75,3.9162403730050594,0.0,1.0936230165617806,23099678156390.4,0.6929664058344704,12018830076805.12,0.06094983096804492,0.0,3.9162403730050594,1.3322676295501878e-15,1.6050000000000002,0.9369241539671456,0.2613744182716707
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,88,3.958594794875645,0.7957537285983562,0.5827422326803208,1.0,0.02762275989003041,82208884690780.16,1000.0,0.6666666666666666,1.0,10311,415,0,122,24.41176470588235,103.11,3.958594794875645,0.0,0.84671871101155,57546218898718.72,0.4753222044776468,29983866444840.96,0.048050740888953704,0.0,3.958594794875645,0.0,1.62,0.9364948501372357,0.25760147336244205
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,89,4.00182186932881,0.7957584804296494,0.5829994325339795,0.9944727220589289,0.02846325666178018,206115347365888.0,1000.0,0.989227761485826,1.0,10480,583,0,89,36.4375,104.8,4.0018218693288095,0.0,1.0295307971537113,144280738668216.3,0.5388754531741142,75093107550453.77,0.05702010124444004,0.0,4.0018218693288095,8.881784197001252e-16,1.635,0.936163056191845,0.247910334133224
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,90,4.045943537463281,0.7956512300670147,0.5836367252469062,0.9945913292706736,0.02681167727957169,514729202826608.6,1000.0,0.8657738095238096,1.0,10469,575,0,394,19.166666666666668,104.69,4.045943537463281,0.0,0.6121089220046997,360310438321192.94,0.45621808171272277,187661919757271.03,0.05185437670749186,0.0,4.045943537463281,0.0,1.65,0.9346766121566087,0.24019039220357236
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,91,4.090982666874294,0.7961334806680679,0.5827313441038132,1.0,0.027772042790756506,1291942846235934.8,1000.0,1.0,1.0,10294,394,0,112,23.176470588235293,102.94,4.090982666874295,0.0,0.9508524572148043,904359968642170.9,0.5740241776494419,470546012994273.25,0.05919942901256318,0.0,4.090982666874295,8.881784197001252e-16,1.6649999999999998,0.9342293834554446,0.23293013579226915
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,92,4.136963102650078,0.7959477299451828,0.5834408654272556,1.0,0.02780317161232233,3224799078063800.5,1000.0,0.5384615384615384,1.0,10276,382,0,178,19.1,102.76,4.136963102650078,0.0,0.7628965526819229,2257359305588080.5,0.47100373804569245,1175700822546186.2,0.05030962326710299,0.0,4.136963102650078,0.0,1.6800000000000002,0.9335599361438497,0.22874975941503886
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,93,4.183909721536838,0.7962694808840751,0.5831657826900483,1.0,0.02796719844142596,8079833239419617.0,1000.0,0.7692307692307693,1.0,10293,396,0,187,18.857142857142858,102.93,4.183909721536837,0.0,0.6803726326851618,5655883163977646.0,0.40030505117915927,2943898904879431.5,0.044632366905697406,0.0,4.183909721536837,8.881784197001252e-16,1.695,0.9329080074978281,0.22244337691668375
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,94,4.231848489478358,0.7963999792933464,0.5830918288230896,1.0,0.026455982238985598,2.0195942786274428e+16,1000.0,1.0,1.0,10462,562,0,88,35.125,104.62,4.2318484894783595,0.0,0.8684248067438602,1.413715960652628e+16,0.439618855714798,7361419742596301.0,0.048954560164287717,0.0,4.2318484894783595,1.7763568394002505e-15,1.71,0.9325668972470176,0.21009143224469287
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,95,4.28080652274961,0.7962112304568291,0.583444048166275,0.9964490194904942,0.0273506987410096,5.0526752719838904e+16,1000.0,0.8403066528066527,1.0,10496,600,0,282,23.076923076923077,104.96,4.280806522749609,0.0,0.6573595244150895,3.536872633909903e+16,0.4437756802027042,1.8414787714214788e+16,0.04867277054992471,0.0,4.280806522749609,8.881784197001252e-16,1.7249999999999999,0.93149546985748,0.20240434894715975
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,96,4.330812152917754,0.796347479969263,0.5838414572179318,1.0,0.029416143506144483,1.2618316068255957e+17,1000.0,1.0,1.0,10169,269,0,336,11.208333333333334,101.69,4.330812152917753,0.0,0.5798848817745844,8.832821134392034e+16,0.38128988444805145,4.600882729347711e+16,0.0435674134270446,0.0,4.330812152917753,8.881784197001252e-16,1.7400000000000002,0.9302164009950238,0.198868132155984
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,97,4.381894995878737,0.7965499803423881,0.5833285370469093,1.0,0.027076750727636472,3.1669625416497235e+17,1000.0,0.9,1.0,10405,506,0,177,24.095238095238095,104.05,4.381894995878738,0.0,0.75357414994921,2.216873746513055e+17,0.44252126273654757,1.1535634175340053e+17,0.04777709748023711,0.0,4.381894995878738,8.881784197001252e-16,1.7550000000000001,0.9295608200146152,0.1907193233693795
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,98,4.434086025233358,0.7966497300565243,0.5836788628995419,1.0,0.026894400162356242,7.905398297727075e+17,1000.0,1.0,1.0,10237,337,0,82,24.071428571428573,102.37,4.434086025233357,0.0,0.8307803911822182,5.533778694162822e+17,0.43923716247081757,2.8822453903345843e+17,0.042993075354212436,0.0,4.434086025233357,8.881784197001252e-16,1.77,0.929257716209675,0.18565015665621049
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,99,4.4874176502831755,0.796623229086399,0.5842342875897885,0.9986824769433466,0.02704414092004299,1.980209614527419e+18,1000.0,0.9974025974025974,1.0,10510,611,0,153,30.55,105.1,4.487417650283176,0.0,0.7907824784517288,1.3861466984551547e+18,0.4469138890504837,7.21527182176855e+17,0.04671781009991407,0.0,4.487417650283176,8.881784197001252e-16,1.785,0.9286827400927794,0.17769164143815552
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,100,4.5419237989440235,0.7969147288799285,0.5837937192618847,0.9952047952047953,0.025406036918100557,4.938959149507501e+18,1000.0,0.7704425204425205,1.0,10095,199,0,170,10.473684210526315,100.95,4.541923798944024,0.0,0.7120374566630313,3.4572713461062564e+18,0.444301260145087,1.80118812944333e+18,0.04814953910396009,0.0,4.541923798944024,8.881784197001252e-16,1.7999999999999998,0.9280614703541508,0.17557182943328292
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,101,4.597640005893232,0.7968694803118705,0.5841228780150414,0.9987858884410609,0.025989808057519524,nan,1000.0,0.9975929549902153,1.0,10575,677,0,186,30.772727272727273,105.75,4.597640005893233,0.0,0.671209760687568,nan,0.39819368584589526,nan,0.043424570406806265,0.0,4.597640005893233,8.881784197001252e-16,1.8150000000000002,0.9273828213939026,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,102,4.65460350628586,0.7967942304909229,0.5851581859588623,0.9989165763813651,0.027939774949724477,nan,1000.0,0.720679012345679,1.0,10577,683,0,230,28.458333333333332,105.77,4.654603506285859,0.0,0.6019881690541903,nan,0.3904637048641841,nan,0.04187738729038836,0.0,4.654603506285859,8.881784197001252e-16,1.83,0.9265059750763186,nan
