algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.7348614805936813,0.8111503598093986,nan,0.06730674719437957,0.0706864220649004,1000.0,nan,nan,0,2,0,50590,0.22020279040602161,0.21071223434834138,0.0,0.006666666666666667,1.0595070533454418,0.42713450560967126,2.0477067977190018,0.7593593444426855,0.7596944884031196,0.7596944884031195,0.7596944884031196,0.0,0.48,0.9906235651564523,0.7953469464064776
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.7384869807958603,0.7918658065795898,nan,0.06281917020678521,0.06604443276921908,1000.0,nan,nan,0,0,0,50896,0.19365398924579924,0.19071051539974784,0.0,0.0,0.7507842510938645,0.3821060660481453,1.3630733966827393,0.7023961019515991,0.8001526997791858,0.8001526997791857,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.9898443764633965,0.7879874433231175
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,14,0.8430464367132451,0.7418944811820984,0.7752187249064445,nan,0.05989722854324749,0.06220339860767126,1000.0,nan,nan,0,26,0,50624,0.18462677790238655,0.17449130122336798,0.0,0.08666666666666667,0.6246951946190425,0.3474296896656354,1.1825107676642281,0.645191378792127,0.843046436713245,0.8430464367132453,0.843046436713245,1.1102230246251565e-16,0.51,0.9895591338699351,0.7819330099195596
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,15,0.8793723681465165,0.7448519805073738,0.7604855820536613,nan,0.056682127631372876,0.05908204309642315,1000.0,0.0,nan,0,130,0,50568,0.19555479452269686,0.16090189380520284,0.1111111111111111,0.43,0.7524455686410269,0.31545668611923855,1.3599053356382582,0.5830176442861557,0.8793723681465165,0.8793723681465166,0.8793723681465164,1.1102230246251565e-16,0.525,0.9889500642398784,0.7804907761375677
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,16,0.9126284626054437,0.7475584807991982,0.7471912547945976,nan,0.054187745600938794,0.05661548289159934,1000.0,0.0,nan,0,282,0,50988,0.19686436403334193,0.14939443873367664,0.2,0.9333333333333333,0.6390212327241898,0.293744689822197,1.0021799325942993,0.5545709800720214,0.9126284626054436,0.9126284626054435,0.9126284626054437,0.0,0.54,0.9883959659932883,0.7732622551041173
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,17,0.9474622637610021,0.7505394783616066,0.7356124171614646,nan,0.05264485017819838,0.05398066493372122,1000.0,nan,nan,0,66,0,50926,0.16632841789817204,0.139472198328013,0.0,0.22,0.6307389736175537,0.27254064053297045,1.0599469434131275,0.511080627143383,0.947462263761002,0.947462263761002,0.9474622637610021,0.0,0.555,0.9875583970484391,0.7684913925118751
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,18,0.9839586158871577,0.7530764818191529,0.7251443049311638,nan,0.05130252907318728,0.052243603592117625,1000.0,nan,nan,0,199,0,50975,0.16892129926929914,0.13113711215946378,0.0,0.6633333333333333,0.6580340500388827,0.256079874287049,1.0266074963978358,0.48769888271888095,0.9839586158871577,0.9839586158871577,0.9839586158871577,0.0,0.57,0.9860668918575483,0.7601474188107566
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,19,1.022216540748102,0.7550144809484481,0.7154083573818206,nan,0.050328302714559764,0.05034907811631759,1000.0,0.0,nan,0,206,0,50664,0.16274172750632274,0.12391889199233892,0.1111111111111111,0.6833333333333333,0.6130527357260386,0.2381326879064242,1.0079712470372517,0.44858136504888535,1.0222165407481023,1.0222165407481023,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9854638931179176,0.7600474384152414
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,20,1.0623545611125644,0.7574199813604355,0.7065815544128418,nan,0.046993099726163425,0.04882316208134095,1000.0,nan,nan,0,81,0,51057,0.13979176232668342,0.11767415829128443,0.0,0.27,0.5962455524848058,0.2278218608101209,0.9766470698209909,0.43732051660617194,1.0623545611125642,1.0623545611125644,1.0623545611125642,2.220446049250313e-16,0.6,0.9843064170760553,0.7527494524429905
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,21,1.1045192595593831,0.759102982878685,0.6988353961706162,nan,0.04533680688057627,0.04731925944487254,1000.0,nan,nan,0,76,0,50550,0.13973422152563408,0.11211722232434475,0.0,0.25333333333333335,0.6113132962158748,0.21450089926520982,0.9820902858461652,0.40725480536619824,1.1045192595593836,1.1045192595593833,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.9839863300544739,0.7490399827843991
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,22,1.148899646893674,0.761148481965065,0.691252669095993,nan,0.04739354149653362,0.04616218127310276,1000.0,nan,nan,0,213,0,51141,0.15057693548804038,0.10725892748730928,0.0,0.71,0.583640096279291,0.2032094492514928,0.8522429649646466,0.387704922358195,1.1488996468936743,1.148899646893674,1.1488996468936743,2.220446049250313e-16,0.63,0.9829415632822123,0.747112089871037
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,23,1.1932226547715872,0.7628319817781448,0.6844880101084709,nan,0.04383153701201081,0.045107083978752294,1000.0,0.0,nan,0,142,0,50354,0.16630101824628485,0.10286100138656941,0.25,0.4666666666666667,0.7559705823659897,0.19429706513881684,1.0135067999362946,0.37145582149426143,1.1932226547715867,1.193222654771587,1.193222654771587,2.220446049250313e-16,0.6450000000000001,0.9824634575837884,0.7460973678052977
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,24,1.2237170788729461,0.7643714788556099,0.6783880272507667,nan,0.04518764233216643,0.04364741368840138,1000.0,nan,nan,0,81,0,50531,0.12611714327644175,0.0988101771632344,0.0,0.27,0.49509767815470695,0.18701190267999968,0.8593735471367836,0.359306535422802,1.2237170788729461,1.2237170788729463,1.2237170788729463,2.220446049250313e-16,0.66,0.9819978160854519,0.7439751422644816
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,25,1.255370164114324,0.7659679788351059,0.672847393155098,nan,0.04275525940789117,0.0431351645787557,1000.0,nan,nan,0,28,0,50962,0.1250825314394778,0.09522050727007225,0.0,0.09333333333333334,0.46884699828094906,0.18185662398735683,0.7355013324154748,0.35366405179103216,1.2553701641143242,1.2553701641143242,1.2553701641143242,2.220446049250313e-16,0.6749999999999999,0.981508760540457,0.7367097579554724
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,26,1.2882265209338715,0.7673119792342186,0.6669397777318955,nan,0.04106162302196026,0.04234746453662713,1000.0,nan,nan,0,43,0,50455,0.13198051073381908,0.09196352582815119,0.0,0.14333333333333334,0.6325035691261292,0.1750790740052859,0.9737631529569626,0.3374240637818972,1.2882265209338717,1.2882265209338717,1.288226520933872,4.440892098500626e-16,0.69,0.981299837539776,0.7330195447217478
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,27,1.3223351707503768,0.7688534793257713,0.6620575517416001,nan,0.040917906910181046,0.04182840512444576,1000.0,nan,nan,0,80,0,50988,0.12564214489393352,0.08903087420516885,0.0,0.26666666666666666,0.4742644992139604,0.16701936756571134,0.6832645535469055,0.3192888620495796,1.3223351707503763,1.3223351707503765,1.3223351707503765,2.220446049250313e-16,0.705,0.9808021197184711,0.7337153528917436
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,28,1.3577503788831171,0.7703319773077965,0.6571391412615776,nan,0.04067937694489956,0.04085356024404367,1000.0,0.0,nan,0,149,0,50643,0.11786288027289518,0.08630711869121209,0.2,0.49,0.4520307078957558,0.1618622797727585,0.7251662343740464,0.31253328363100685,1.3577503788831173,1.3577503788831171,1.3577503788831173,2.220446049250313e-16,0.7200000000000001,0.9801024348018424,0.7307284929546332
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,29,1.3945327218869124,0.7713579800724983,0.6530136612057685,nan,0.03996045747771859,0.040151218896110855,1000.0,nan,nan,0,213,0,50479,0.14246568798544704,0.08391714210788857,0.0,0.71,0.5508329458534718,0.15728564699490866,0.6825510635972023,0.30359184990326565,1.3945327218869124,1.3945327218869126,1.3945327218869124,0.0,0.735,0.9796361786115035,0.7296464624244738
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,30,1.4327504734265042,0.7726469802856445,0.6486398509144783,nan,0.037780905285706885,0.03972682862232129,1000.0,nan,nan,0,334,0,50886,0.13359043301224202,0.08162056560605918,0.0,1.1133333333333333,0.5169655921367499,0.15302834019064904,0.6304486302229074,0.29577175080776213,1.432750473426504,1.432750473426504,1.4327504734265044,2.220446049250313e-16,0.75,0.9784209117885714,0.7265765268245458
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,31,1.4724814279430891,0.7737154802680015,0.6448503038287163,nan,0.038306642323732376,0.03911708972106377,1000.0,nan,nan,0,149,0,50461,0.13644106636918693,0.07950717577280084,0.0,0.49666666666666665,0.5880102919680732,0.14944120571017266,0.6420297409806933,0.28934311310450234,1.4724814279430891,1.4724814279430893,1.472481427943089,2.220446049250313e-16,0.7649999999999999,0.9781155132192358,0.7247910139865189
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,32,1.5138153326430999,0.7746669799089432,0.6411389374732971,nan,0.03851328007876873,0.0388921753068765,1000.0,0.0,nan,0,92,0,50698,0.11737696859703609,0.07754294037123423,0.1,0.30333333333333334,0.5014718189835549,0.1473582336306572,0.6848815590143204,0.287088763465484,1.5138153326430999,1.5138153326430999,1.5138153326430996,2.220446049250313e-16,0.78,0.9773914826899415,0.7180412232409763
