algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,80,6.287443267044094,0.8810706450541814,0.6144780959685644,0.8482516425550699,1.5137996338307858,6779.547051239014,1000.0,0.47545636308360695,1.0,30292,494,81,131,0.9865693189203739,2237.9154949140548,6542.390466072814,0.0,0.6118025260240125,0.0,138.1639175415039,0.0,4.593985850953081,0.0,138.1639175415039,0.0,0.6118025260240125,0.0,0.7215283736586571,0.0,4.593985850953081,1.1704690669087081,0.7215283736586571,0.6118025260240125,7.368742268880208,348.9274915238834
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,81,6.287443267044094,0.8812346448500951,0.47913782656192777,0.8925253701094276,1.398772697363581,7351.2878227996825,1000.0,0.7133810842695253,1.0,30493,541,36,174,0.9406548823629107,38.4656461879611,6825.178957852928,0.0,0.6189961958758369,0.0,139.54200744628906,0.0,4.640483427400765,0.0,139.54200744628906,0.0,0.6189961958758369,0.0,0.696962337408747,0.0,4.640483427400765,1.1623864717117978,0.696962337408747,0.6189961958758369,6.511960347493489,318.5083513664699
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,82,6.35210979724761,0.8810843129952749,0.48103069414695104,0.9590676883780332,1.0219229459762573,7401.351528511047,1000.0,0.5537554560399071,1.0,29856,78,156,46,1.7619217455387115,31089.727908203007,6176.987512146754,0.0,0.6615920048322245,0.0,149.2461181640625,0.0,4.651467625870385,0.0,149.2461181640625,0.0,0.6615920048322245,0.0,0.5680516570806503,0.0,4.651467625870385,1.1639747503312694,0.5680516570806503,0.6615920048322245,2.487435302734375,102.94979186911256
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,83,6.35210979724761,0.8815849792957305,0.4507929115494092,0.879798515324481,1.9649397691090902,10461.597037734986,1000.0,0.5467952931274696,1.0,30312,480,82,128,3.5690062999725343,131.44052549600602,6604.182142111944,0.0,0.6010674636218961,0.0,135.6575897216797,0.0,4.694497910247325,0.0,135.6575897216797,0.0,0.6010674636218961,0.0,0.7972703417142232,0.0,4.694497910247325,1.1671988626247374,0.7972703417142232,0.6010674636218961,6.782879486083984,330.20910710559724
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,84,6.35210979724761,0.8814879790941874,0.478098385433356,0.8872299199688076,1.5604085751942225,10627.45643875122,1000.0,0.7753311924447716,1.0,30632,666,29,181,1.4500040667397636,5.266243283450604,6945.410080875399,0.0,0.6069375586298074,0.0,136.855712890625,0.0,4.7321586184361095,0.0,136.855712890625,0.0,0.6069375586298074,0.0,0.7023548696722303,0.0,4.7321586184361095,1.1714371570761075,0.7023548696722303,0.6069375586298074,6.386599934895833,324.1191371075186
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,85,6.35210979724761,0.8787876456479231,408441.1670198377,0.9191240118777607,1.8625954041878383,10652.973644638061,1000.0,0.3566484276809639,0.997979797979798,29985,302,165,46,27531.75824674964,47940.4049312973,6676.372136630445,0.0,0.6002290721471661,0.0,135.3866055806478,0.0,4.766770659121296,0.0,135.3866055806478,0.0,0.6002290721471661,0.0,0.7632971306641897,0.0,4.766770659121296,1.1689670836151562,0.7632971306641897,0.6002290721471661,5.415464223225912,267.0548854652178
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,86,6.42225333053275,0.878873977214098,5834.05569620957,0.8762261284654369,2.000690601088784,14454.14691455841,1000.0,0.596334569452849,1.0,30201,346,98,109,4.38799022544514,29995.55923539698,6321.2024836275705,0.0,0.6024853957677334,0.0,135.65722933682528,0.0,4.79127595791836,0.0,135.65722933682528,0.0,0.6024853957677334,0.0,0.7386716062372382,0.0,4.79127595791836,1.1765221849994525,0.7386716062372382,0.6024853957677334,4.974098409016927,231.77742439967759
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,87,6.825491727388393,0.8795569766064485,2784.996069988708,0.920637011528852,1.4284572520039298,16711.694683532714,1000.0,0.7859399766700389,1.0,30330,389,58,149,1.396888705817136,169.77450825303794,7181.87295971762,0.0,0.6102523334644577,0.0,137.60128645463422,0.0,4.834768674950927,0.0,137.60128645463422,0.0,0.6102523334644577,0.0,0.7054348723454908,0.0,4.834768674950927,1.15694971044508,0.7054348723454908,0.6102523334644577,5.045380503336588,263.3353418563127
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,88,6.825491727388393,0.8791386441389719,4054.3066779467463,0.9358580520205795,2.074996817111969,16892.503952064515,1000.0,0.5304377603962858,1.0,30036,287,153,54,2.862086367607117,69093.48105475903,6887.73337529076,0.0,0.6002290721471661,0.0,135.51874389648438,0.0,4.857524243327657,0.0,135.51874389648438,0.0,0.6002290721471661,0.0,0.7504978954792023,0.0,4.857524243327657,1.1614470589872823,0.7504978954792023,0.6002290721471661,4.517291463216146,229.59111250969198
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,89,6.825491727388393,0.8790569784243901,2082.2939765482147,0.9060006576372879,1.7048872846823473,20703.141941337584,1000.0,0.7107936430533771,1.0,30454,463,21,188,2.0088567550365743,8.514254571199418,7146.645161041941,0.0,0.6002290721471661,0.0,135.40581688514123,0.0,4.904188319388084,0.0,135.40581688514123,0.0,0.6002290721471661,0.0,0.7325288103176997,0.0,4.904188319388084,1.1477827003740724,0.7325288103176997,0.6002290721471661,5.86758539835612,309.687956978484
