algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,23,3.8173531042519686,0.2309387942403555,2.4930232048034666,0.0,4.486650713920593,0.0,4.0,0.0,0.0,39.757899693080354,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,24,3.8477485823944813,0.23408239407837392,2.502634861469269,0.0,4.48605094242096,0.0,4.0,0.0,0.0,39.836150360107425,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,25,3.878144060536994,0.23645099496841432,2.511263916492462,0.0,4.486971385955811,0.0,4.0,0.0,0.0,39.58697911312706,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,26,3.9085395386795065,0.23948939402401448,2.529772762775421,0.0,4.487238011360168,0.0,4.0,0.0,0.0,39.89101843400435,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,27,3.938935016822019,0.2420963940769434,2.538730679512024,0.0,4.4856217632293705,0.0,4.0,0.0,0.0,39.7149480672983,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,28,3.969330494964532,0.24408499419689178,2.549078164100647,0.0,4.487144857406617,0.0,4.0,0.0,0.0,39.6997395268193,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,29,3.9997259731070445,0.2478623932003975,2.555361227989197,0.0,4.487190633773804,0.0,4.0,0.0,0.0,39.809843335832866,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,30,4.030121451249557,0.24954039381444454,2.5675879559516908,0.0,4.486597845077514,0.0,4.0,0.0,0.0,39.65216064453125,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,31,4.06051692939207,0.25227019369602205,2.5806886172294616,0.0,4.487775837898254,0.0,4.0,0.0,0.0,39.891092936197914,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,32,4.090912407534582,0.255280593842268,2.5922834262847902,0.0,4.487279420852661,0.0,4.0,0.0,0.0,39.710203329722084,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,33,4.121307885677095,0.2587189937531948,2.6008631913661957,0.0,4.486705708503723,0.0,4.0,0.0,0.0,39.94432830810547,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,34,4.151703363819608,0.26200499272346495,2.6108620252609254,0.0,4.486917539596558,0.0,4.0,0.0,0.0,39.71720233716463,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,35,4.18209884196212,0.264238393843174,2.625455420970917,0.0,4.4870871143341065,0.0,4.0,0.0,0.0,39.719144484576056,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,36,4.212494320104633,0.2660861928462982,2.6372488341331484,0.0,4.4865964975357056,0.0,4.0,0.0,0.0,39.64761734008789,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,37,4.242889798247146,0.2686965932250023,2.653171398639679,0.0,4.487425783157349,0.0,4.0,0.0,0.0,39.76536540985107,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,38,4.273285276389658,0.27106719347834585,2.6607282485961914,0.0,4.4868209276199345,0.0,4.0,0.0,0.0,39.66486461742504,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,39,4.303680754532171,0.2741687928438187,2.6665924167633057,0.0,4.486839057922364,0.0,4.0,0.0,0.0,39.78602450826894,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,40,4.334076232674684,0.27688459315896036,2.680182619571686,0.0,4.486231760978699,0.0,4.0,0.0,0.0,39.694254302978514,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,41,4.364471710817196,0.27838539293408393,2.6965603795051574,0.0,4.4862350664138795,0.0,4.0,0.0,0.0,39.64231326128986,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,42,4.394867188959709,0.2814887928366661,2.7034617018699647,0.0,4.487189476013183,0.0,4.0,0.0,0.0,39.798438528309696,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,43,4.4252626671022215,0.28472119292616843,2.7104372873306275,0.0,4.487367853164673,0.0,4.0,0.0,0.0,39.89932290438948,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,44,4.455658145244734,0.2867307926416397,2.7274817147254944,0.0,4.485904002189637,0.0,4.0,0.0,0.0,39.53548674149947,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,45,4.486053623387247,0.2883233929872513,2.7399287679195403,0.0,4.487413249015808,0.0,4.0,0.0,0.0,39.794707969382955,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,46,4.516449101529759,0.2902039928436279,2.7521485350131987,0.0,4.486882188796997,0.0,4.0,0.0,0.0,39.80482703761051,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,47,4.546844579672272,0.29232159262895585,2.7586387360095976,0.0,4.486831782341003,0.0,4.0,0.0,0.0,39.720172535289414,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,48,4.577240057814785,0.2940951926410198,2.7693373217582704,0.0,4.486563808441162,0.0,4.0,0.0,0.0,39.66353187561035,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,49,4.607635535957297,0.2971879925131798,2.7784275960922242,0.0,4.4874715871810915,0.0,4.0,0.0,0.0,39.74544629183683,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,50,4.63803101409981,0.29847379264235496,2.791155077457428,0.0,4.4881502161026,0.0,4.0,0.0,0.0,39.635743408203126,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,51,4.668426492242323,0.30036739239096644,2.7979306614398958,0.0,4.486846146583557,0.0,4.0,0.0,0.0,39.777622569691054,0.0
