algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,76,0.0,0.8866239766279856,0.37851746012767157,1.0,0.0201826771410803,nan,,1.0,1.0,30489,589,0,122,6.288332998752594,nan,7.527100130207791,nan,7.625,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,77,0.0,0.8866596440474193,0.37832941631476086,1.0,0.020002526380121708,nan,,1.0,1.0,30241,341,0,186,6.294360104729147,nan,7.484252837170605,nan,10.941176470588236,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,78,0.0,0.8867139786481857,0.3781888964772224,1.0,0.01981355493888259,nan,,1.0,1.0,30513,613,0,48,6.2882677858526055,nan,7.427327881323561,nan,4.363636363636363,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,79,0.0,0.886719978650411,0.37808253238598505,1.0,0.01958925347775221,nan,,1.0,1.0,30375,475,0,148,6.315234988927841,nan,7.4096174631439915,nan,9.25,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,80,0.0,0.8868329779307047,0.3778900787234306,1.0,0.01950163103019198,nan,,1.0,1.0,30373,473,0,152,6.31718248128891,nan,7.362654101797391,nan,9.5,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,81,0.0,0.886817311445872,0.3777622854709625,1.0,0.01936560424044728,nan,,1.0,1.0,30529,629,0,86,6.332963194165911,nan,7.332003150413378,nan,6.142857142857143,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,82,0.0,0.886843310991923,0.37773568640152616,1.0,0.01897120339795947,nan,,1.0,1.0,30012,112,0,12,6.34035005569458,nan,7.291781033037845,nan,2.4,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,83,0.0,0.8869143110513688,0.3776250629623731,1.0,0.018991948204735914,nan,,1.0,1.0,30394,494,0,114,6.34406483968099,nan,7.24757467614072,nan,7.6,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,84,0.0,0.886949976682663,0.37757000207901004,1.0,0.018816212322562934,nan,,1.0,1.0,30661,761,0,86,6.353448901857648,nan,7.210067501834687,nan,6.142857142857143,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,85,0.0,0.8869286439816157,0.37755873988072075,1.0,0.018589178218195834,nan,,1.0,1.0,30150,250,0,98,6.362136562665303,nan,7.171953740371733,nan,8.166666666666666,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,86,0.0,0.8869599771499633,0.3775319276253382,1.0,0.018435519800210992,nan,,1.0,1.0,30299,399,0,56,6.373205575076017,nan,7.136694782541152,nan,5.090909090909091,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,87,0.0,0.8869716441631317,0.3775034906466802,1.0,0.0182907797023654,nan,,1.0,1.0,30388,488,0,50,6.384787082672119,nan,7.102157821066367,nan,4.545454545454546,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,88,0.0,0.8870003112157185,0.37747300148010254,1.0,0.018061769707128406,nan,,1.0,1.0,30189,289,0,52,6.38900351524353,nan,7.059626589135883,nan,5.2,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,89,0.0,0.8870693117380142,0.37745766510566076,1.0,0.01795685869641602,nan,,1.0,1.0,30475,575,0,76,6.391595657055195,nan,7.01556413959987,nan,5.846153846153846,0.0
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,90,0.0,0.8870156433184941,0.3774308017889659,1.0,0.017764098836729924,nan,,1.0,1.0,30680,780,0,276,6.405778408050537,nan,6.984413148168904,nan,12.0,0.0
