algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,D_threshold_honest,D_threshold_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,41,1.8612273687051577,0.8809459763765335,0.40847852289676667,nan,0.03043953632004559,0.03261504602308075,1000.0,0.0,nan,0,453,0,51059,0.10326855469003209,0.06244921284462517,0.555538346990943,0.22227798273166022,1.8612273687051581,1.861227368705158,0.25,1.4966666666666666,0.4081600122153759,0.11517898331085841,1.861227368705158,2.220446049250313e-16,0.915,0.9691797058579273,0.6988367583065513
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,42,1.904583560352156,0.8811729779839516,0.40662836998701096,nan,0.030622705817222595,0.0319945997868975,1000.0,nan,nan,0,208,0,50288,0.11003103590779449,0.06102813067128607,0.6130289236704508,0.21849476511279742,1.9045835603521555,1.9045835603521566,0.0,0.6933333333333334,0.512502521276474,0.11296546081701915,1.9045835603521557,2.220446049250313e-16,0.9299999999999999,0.9689535268822488,0.6995993612571615
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,43,1.9495402035165759,0.8815349766612053,0.4047770293056965,nan,0.02934618464981516,0.031646569184958936,1000.0,0.0,nan,0,328,0,50760,0.08735647184369466,0.05970278131389447,0.4753069654107094,0.21904853095610938,1.9495402035165765,1.949540203516576,0.3333333333333333,1.08,0.35176801805694896,0.11228256039321423,1.9495402035165765,6.661338147750939e-16,0.945,0.967987680320238,0.694236045014438
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,44,1.9962009572946733,0.8817784783244133,0.40318774834275245,nan,0.02873494742172105,0.03133522458995382,1000.0,0.0,nan,0,45,0,50183,0.0776115748022393,0.058464693294456346,0.648934509072985,0.2114417100449403,1.9962009572946733,1.9962009572946735,0.2857142857142857,0.14333333333333334,0.3781512996980122,0.10938379280269146,1.9962009572946728,4.440892098500626e-16,0.96,0.9675898815938007,0.6921508603563388
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,45,2.044685814238566,0.8819524800777435,0.4016787503659725,nan,0.0288544617155019,0.030805348766346774,1000.0,0.0,nan,0,602,0,51226,0.10314306179138225,0.057252633444002284,0.4700390521217795,0.20448439160982768,2.044685814238566,2.044685814238566,0.47058823529411764,1.98,0.43007935057668123,0.10621238514780998,2.0446858142385658,4.440892098500626e-16,0.975,0.9657098546184291,0.6935114753242734
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,46,2.0786677031269156,0.8823129773139954,0.40004667431116103,nan,0.028964099873389517,0.030377019171913464,1000.0,nan,nan,0,290,0,50420,0.09986130433534875,0.05605261597180193,0.43656701701028006,0.20058157136042912,2.078667703126915,2.078667703126915,0.0,0.9666666666666667,0.3763013354369572,0.10353054918348789,2.0786677031269156,0.0,0.99,0.9654820768442152,0.6951223678627689
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,47,2.1134879265457753,0.8824539786577225,0.39878097668290136,nan,0.02737768040969968,0.03006772553548217,1000.0,0.0,nan,0,326,0,50706,0.08305508235267747,0.05494960866968756,0.35666830092668533,0.19862667952974639,2.113487926545776,2.1134879265457758,0.125,1.0833333333333333,0.29105075169354677,0.1021633646140496,2.1134879265457758,4.440892098500626e-16,1.005,0.9651601388278571,0.6914183184596987
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,48,2.1493007737632155,0.8827614775300026,0.39747988671064377,nan,0.027462865891201154,0.02967801020791133,1000.0,0.0,nan,0,243,0,50361,0.12383249353928694,0.053860348213259794,0.6278932860919407,0.19312178110082945,2.1493007737632155,2.1493007737632155,0.14285714285714285,0.8066666666666666,0.5885183449302401,0.09981475614011287,2.1493007737632155,0.0,1.02,0.964867812356031,0.6941029282095422
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,49,2.1861402047376153,0.8829729768633843,0.39607812479138377,nan,0.027344059944152833,0.02938564336548249,1000.0,nan,nan,0,31,0,50397,0.054302173390862817,0.05281386267822308,0.369161057472229,0.1889656719068686,2.1861402047376153,2.1861402047376153,0.0,0.10333333333333333,0.19856857359409333,0.09770309766133627,2.1861402047376153,0.0,1.035,0.9647777885953842,0.6928864262332862
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,50,2.2240427388792705,0.8831414777040482,0.394930374622345,0.9955484497946644,0.02683127937572343,0.5789233078559239,1000.0,0.9912462006079028,1.0,50267,369,0,30,0.08730243214684284,0.0,1.425436019897461,0.40524631410837175,2.22404273887927,0.0,52.714285714285715,167.55666666666667,0.6567335554531643,0.16069776450594267,2.22404273887927,4.440892098500626e-16,1.05,0.9644639225663452,0.6782666663217345
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,51,2.2630477569582963,0.8827704775333405,0.39507197111845016,0.9691452432046002,0.025738045340403914,1.113934178352356,1000.0,0.9956395348837209,0.9445420154546582,50400,530,28,30,0.0963295429565367,0.0,0.7267826832830906,0.7797539254029592,2.2630477569582967,0.0,62.75,168.09333333333333,0.40907333977520466,0.38732091257969536,2.2630477569582967,4.440892098500626e-16,1.065,0.9641495646698309,0.658740526917408
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,52,2.303197848143191,0.8787099775671959,0.4077203384041786,0.8242247622954624,0.025532754138112068,5.892117381890615,1000.0,1.0,0.710977787323719,50131,345,114,30,0.060470803146520265,0.0,0.7904095223971775,4.124482139746348,2.3031978481431916,0.0,33.0,167.48333333333332,0.3879502926553999,1.8426192063093185,2.3031978481431916,4.440892098500626e-16,1.08,0.9638638578527807,0.6491262742565016
