algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,27,3.631287138055902,0.22384424410760403,2.84298044860363,nan,4.749349849224091,4.749948310852051,5.0,nan,nan,0,0,0,10700
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,28,3.6701948758186136,0.2253764945268631,2.8698095732927325,nan,4.751062949895859,4.751181354522705,4.0,nan,nan,0,0,0,11646
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,29,3.690275332611267,0.2281767443008721,2.8891514521837234,nan,4.751712766885757,4.748824901580811,4.0,nan,nan,0,0,0,10784
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,30,3.7103557894039203,0.23044699396938084,2.9051952242851256,nan,4.750387736558914,4.750992603302002,4.0,nan,nan,0,0,0,11106
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,31,3.7304362461965734,0.23184899460524322,2.9316840666532515,nan,4.751622135639191,4.752286415100098,4.0,nan,nan,0,0,0,10838
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,32,3.750516702989227,0.2343242442421615,2.959255669116974,nan,4.751298644542694,4.750955920219422,4.0,nan,nan,0,0,0,11440
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,33,3.7705971597818806,0.23621474407613277,2.973872863650322,nan,4.750572423934937,4.750794763565064,4.0,nan,nan,0,0,0,10802
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,34,3.790677616574534,0.23893574407324195,2.9960539877414702,nan,4.751317012310028,4.748938264846802,4.0,nan,nan,0,0,0,11926
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,35,3.810758073367187,0.24038774425163864,3.025398644208908,nan,4.7505907738208775,4.752757134437561,4.0,nan,nan,0,0,0,11106
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,36,3.8308385301598404,0.24169524429365993,3.044779064655304,nan,4.750813539028168,4.749280014038086,4.0,nan,nan,0,0,0,11030
dp-fedavg,scale,mnist,42,500,100,0.9,0.0234,0.05,iid,1.0,50,37,3.850918986952494,0.24414399376139045,3.0745559579133985,nan,4.752014741897583,4.748885025978089,4.0,nan,nan,0,0,0,10622
