algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,40,1.8193813121440443,0.8803166459004085,0.4113196478287379,nan,0.03092870923380057,0.03339851244352758,1000.0,0.0,nan,0,335,0,30731,0.26666666666666666,1.655,1.8193813121440439,1.8193813121440445,0.1014256923983912,0.06470618592401603,0.5613859345515569,0.12757560480386018,0.7105949461460114,0.24756260134279728,1.8193813121440445,2.220446049250313e-16,0.8999999999999999,0.9706508410883705,0.6849254323666328
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,41,1.8612273687051577,0.8806916437546413,0.40930088609457016,nan,0.03055583094449147,0.03308718943037093,1000.0,0.0,nan,0,260,0,31166,0.17391304347826086,1.28,1.861227368705158,1.8612273687051581,0.10100179764057485,0.06318649412620882,0.5307539273863253,0.1229133852571249,0.7320220068744991,0.23675926104187967,1.861227368705158,2.220446049250313e-16,0.915,0.9691120407925289,0.6847397962595937
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,42,1.904583560352156,0.8809493128458659,0.40732100546360017,nan,0.029576172520007406,0.03234931815415621,1000.0,0.0,nan,0,204,0,31112,0.07142857142857142,1.015,1.9045835603521566,1.9045835603521555,0.08945147524442976,0.06169486650046107,0.44154895575983183,0.12236671153455973,0.6314503742115838,0.23901307620108128,1.9045835603521557,2.220446049250313e-16,0.9299999999999999,0.9686060445368723,0.6776884853136229
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,43,1.9495402035165759,0.8811979788541794,0.4055749829610189,nan,0.029550429640544787,0.03203141654841602,1000.0,0.0,nan,0,258,0,30966,0.2777777777777778,1.265,1.949540203516576,1.9495402035165765,0.08731316314380104,0.06031200804774821,0.45396440145042205,0.11746244300156831,0.6255681084262,0.22476398065686226,1.9495402035165765,6.661338147750939e-16,0.945,0.9676625731910106,0.6768467674720897
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,44,1.9962009572946733,0.8815406443675359,0.4039551236232122,nan,0.02872134434680144,0.031694648368284103,1000.0,0.0,nan,0,329,0,30983,0.2777777777777778,1.62,1.9962009572946735,1.9962009572946733,0.0948256070045719,0.05904386696575605,0.44893760399685967,0.11510827660560607,0.6170389966832267,0.22406965248286725,1.9962009572946728,4.440892098500626e-16,0.96,0.9667136365341539,0.6768954970614584
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,45,2.044685814238566,0.881754644314448,0.40237885822852454,nan,0.02885928785517102,0.031123770968988537,1000.0,0.0,nan,0,545,0,31241,0.42857142857142855,2.68,2.044685814238566,2.044685814238566,0.09651166938799632,0.05778969488540633,0.5105538879122052,0.11257755488157273,0.6387533786750975,0.21671566806733608,2.0446858142385658,4.440892098500626e-16,0.975,0.9654195465318012,0.6784484460915332
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,46,2.0786677031269156,0.882117978533109,0.4007313414414724,nan,0.027740938080982727,0.030687424838542938,1000.0,nan,nan,0,420,0,30558,0.0,2.1,2.078667703126915,2.078667703126915,0.09905399648290407,0.056552401941016225,0.5228614685210314,0.1107802477106452,0.7622293477708643,0.2154268330335617,2.0786677031269156,0.0,0.99,0.9651965222043482,0.6802811901399427
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,47,2.1134879265457753,0.8823526453971863,0.39942403386036557,nan,0.028330915990997765,0.03035695241764188,1000.0,0.0,nan,0,382,0,31374,0.17647058823529413,1.895,2.1134879265457758,2.113487926545776,0.08086302942399319,0.05542683264444234,0.38586192490423427,0.10944542363286018,0.5627973500420066,0.21315654411911963,2.1134879265457758,4.440892098500626e-16,1.005,0.9644971494579567,0.6768317746222875
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,48,2.1493007737632155,0.8825559784968694,0.3981225844224294,nan,0.028584176335822453,0.02998938069678843,1000.0,0.0,nan,0,157,0,30439,0.18181818181818182,0.775,2.1493007737632155,2.1493007737632155,0.11083912403168837,0.05432755862568819,0.7977530062198639,0.10554491765797139,0.908335571939295,0.20308048017323016,2.1493007737632155,0.0,1.02,0.9641233398241447,0.6776689165283699
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,49,2.1861402047376153,0.8827836445967356,0.396764520406723,nan,0.0274495506151156,0.029704697094857693,1000.0,nan,nan,0,194,0,30494,0.0,0.97,2.1861402047376153,2.1861402047376153,0.06362546438195686,0.05326496901485462,0.35668073323639954,0.1035643134266138,0.6293631927533583,0.1994435390084982,2.1861402047376153,0.0,1.035,0.963811213747567,0.6764281813614997
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,50,2.2240427388792705,0.882954643368721,0.39564919044574104,0.9971577672164758,0.02690485479044063,0.1462222584336996,1000.0,0.917920997920998,1.0,30411,516,0,89,36.857142857142854,152.055,2.2240427388792696,0.0,0.0908707011265357,0.0,0.6773483221020017,0.06721720514819025,1.2530669910567147,0.10235558092594146,2.2240427388792696,8.881784197001252e-16,1.05,0.9633007672738033,0.6554591564209747
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,51,2.2630477569582963,0.883125310142835,0.3945988949139913,0.9978318353952871,0.026464786380529404,0.16389521189033984,1000.0,0.8712373737373738,1.0,30384,487,0,43,44.27272727272727,151.92,2.2630477569582967,0.0,0.09173059564405829,0.0,0.8517016118223016,0.07191187294200063,1.717520453713157,0.11472664818167687,2.2630477569582967,4.440892098500626e-16,1.065,0.9630433332879095,0.6374027343402138
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,52,2.303197848143191,0.8832863108317057,0.39359978566567105,0.9604762893453197,0.02646358612065132,0.2497376272082329,1000.0,1.0,0.9266538497824305,30361,500,39,80,35.46153846153846,152.0,2.3031978481431916,0.0,0.06419979527662464,0.0,0.37660212327654546,0.10636833552271127,0.6870420517829748,0.1748163390532136,2.3031978481431916,4.440892098500626e-16,1.08,0.9625967405562736,0.6200465142804015
